global_post_id,sample_group,source_dataset,fortune_rank,company_name,official_x_handle,source_x_handle,source_x_url,tweet_id,tweet_url,created_at,text,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,account_role,account_index,collection_method,max_posts_cap,source_folder,is_duplicate_removed,is_empty_text,is_retweet,is_reply,is_quote,language_hint,classification_status
fortune_top100_ranked::1839794838436188402,fortune_top100_ranked,fortune_x_2025_ranked,60,HCA Healthcare,@hcahealthcare,@hcahealthcare,https://x.com/hcahealthcare,1839794838436188402,https://x.com/hcahealthcare/status/1839794838436188402,Fri Sep 27 22:30:45 +0000 2024,"During Hope Fund Week 2024, read stories of hope from colleagues who have been positively impacted by the generosity of their peers on HCA Healthcare Today: https://t.co/Fa5JPkj6KC.",0,0,0,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/060_hca_healthcare/accounts/01_primary_hcahealthcare,true,false,false,false,false,en,pending
fortune_top100_ranked::1374367093521539074,fortune_top100_ranked,fortune_x_2025_ranked,87,Tyson Foods,@tysonfoods,@tysonfoods,https://x.com/tysonfoods,1374367093521539074,https://x.com/tysonfoods/status/1374367093521539074,Tue Mar 23 14:27:04 +0000 2021,Tyson Foods to hold COVID-19 vaccination clinic for Dakota City plant employees https://t.co/0KoFI7N8kc,0,3,3,0,false,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/087_tyson_foods/accounts/01_primary_tysonfoods,true,false,false,false,false,en,pending
benchmark_self_defeating_moonpie::1288260887824957440,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/1288260887824957440,1288260887824957440,https://x.com/MoonPie/status/1288260887824957440,Tue Jul 28 23:51:45 +0000 2020,Got bored and designed some masks https://t.co/LdtH30bTI7,84,260,2777,46,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
fortune_top100_ranked::1106186331342823424,fortune_top100_ranked,fortune_x_2025_ranked,57,Albertsons,@albertsons,@albertsons,https://x.com/albertsons,1106186331342823424,https://x.com/albertsons/status/1106186331342823424,Thu Mar 14 13:32:27 +0000 2019,❤️❤️❤️,0,1,9,1,false,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/057_albertsons/accounts/01_primary_albertsons,true,false,false,false,false,mixed,pending
benchmark_aggressive_wendys::1438222894014865408,benchmark_aggressive_wendys,wendys_existing_collection,benchmark,Wendy's,@Wendys,@Wendys,https://x.com/Wendys/status/1438222894014865408,1438222894014865408,https://x.com/Wendys/status/1438222894014865408,Wed Sep 15 19:27:13 +0000 2021,Who else has a “normal person voice” they use when they pull up to order at the drive-thru?,330,159,4722,56,false,unknown,,primary,1,legacy_json_import,0,data/wendys,true,false,false,false,false,en,pending
fortune_top100_ranked::1905019929658626135,fortune_top100_ranked,fortune_x_2025_ranked,30,Marathon Petroleum,@MarathonPetroCo,@MarathonPetroCo,https://x.com/MarathonPetroCo,1905019929658626135,https://x.com/MarathonPetroCo/status/1905019929658626135,Wed Mar 26 22:11:59 +0000 2025,"We had a great time hosting students from the Michigan State University Supply Chain Management Association at our Findlay headquarters! 🎓

They spent the day with our Supply Chain team learning how we keep things moving and exploring what a career at Marathon Petroleum could be like. ⛽

Big thanks to these future leaders for bringing the energy and great questions. ⚡

#MarathonPetroleum
#FutureLeaders
#SupplyChain
#MSU",0,1,4,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/030_marathon_petroleum/accounts/01_primary_marathonpetroco,true,false,false,false,false,mixed,pending
fortune_top100_ranked::1957751769632825391,fortune_top100_ranked,fortune_x_2025_ranked,88,Intel,@intel,@intel,https://x.com/intel,1957751769632825391,https://x.com/intel/status/1957751769632825391,Tue Aug 19 10:29:29 +0000 2025,"This World Photography Day, we’re celebrating workflows that let photographers save 248+ hours/year!

Aftershoot + @intel built an AI-powered workflow that:

🦄 Cuts hours of culling &amp; editing into minutes
🦄 Speeds up retouching by up to 10x
🦄 Works anywhere, even offline https://t.co/SiDZ6ArKRk",1,2,8,2,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/088_intel/accounts/01_primary_intel,true,false,false,false,false,mixed,pending
fortune_top100_ranked::2065418808487997690,fortune_top100_ranked,fortune_x_2025_ranked,77,AbbVie,@abbvie,@abbvie,https://x.com/abbvie,2065418808487997690,https://x.com/abbvie/status/2065418808487997690,Fri Jun 12 12:59:52 +0000 2026,"We’re presenting data at @EHA_Hematology across chronic lymphocytic leukemia (#CLL), including combination treatment efficacy and safety profiles.
Learn more: https://t.co/WVcGaGZpu4 https://t.co/76jL8sSu1g",1,0,3,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/077_abbvie/accounts/01_primary_abbvie,true,false,false,false,false,mixed,pending
fortune_top100_ranked::2041105511655903314,fortune_top100_ranked,fortune_x_2025_ranked,61,Lockheed Martin,@lockheedmartin,@lockheedmartin,https://x.com/lockheedmartin,2041105511655903314,https://x.com/lockheedmartin/status/2041105511655903314,Mon Apr 06 10:47:30 +0000 2026,"RT @LMSpace: We have arrived! 🌕

@NASA’s Orion spacecraft for Artemis II has officially entered the lunar sphere of influence. Soon, the as…",0,625,0,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/061_lockheed_martin/accounts/01_primary_lockheedmartin,true,false,true,false,false,mixed,pending
fortune_top100_ranked::1630678752832155649,fortune_top100_ranked,fortune_x_2025_ranked,8,McKesson,@mckesson,@mckesson,https://x.com/mckesson,1630678752832155649,https://x.com/mckesson/status/1630678752832155649,Tue Feb 28 21:18:05 +0000 2023,"Health systems must leverage partnerships and resources to optimize their specialty pharmacy services. Maggie McCune, VP of Sales Operations for McKesson Plasma and Biologics, explains the benefits of partnering with your specialty wholesale distributor. 
https://t.co/fWdnmcq2JA https://t.co/4CxraRgunz",0,1,5,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/008_mckesson/accounts/01_primary_mckesson,true,false,false,false,false,en,pending
