variable_name,source_column,source_file,score_type,score_range_min,score_range_max,valid_probability_range,interpretation,allowed_variable_name,rename_required,rename_recommendation
humor_prob_sum,ml_humor_probability,humor_full_chain_master.csv,humor_probability,0.0,n_posts (unbounded sum),False,Sum of P(humor) over all posts in firm-period. Not a probability itself — a probability-weighted count.,humor_candidate_score_sum,True,humor_candidate_score_sum
humor_prob_mean,ml_humor_probability,humor_full_chain_master.csv,humor_probability,0.0,1.0,True,"Mean P(humor) per post in firm-period = ambiguity-adjusted humor share. Valid [0,1].",humor_prob_mean,False,no rename needed
ambiguity_adjusted_humor_share,ml_humor_probability,humor_full_chain_master.csv,humor_probability,0.0,1.0,True,"sum(P(humor)) / total_posts = mean(P(humor)) = humor_prob_mean. Valid [0,1]. Identical to humor_prob_mean.",ambiguity_adjusted_humor_share,False,no rename needed; note: identical to humor_prob_mean
aggressive_prob_sum,humor_type_confidence (aggressive posts) + ml_humor_probability × base_rate (ambiguous),humor_full_chain_master.csv,classifier_confidence,0.0,n_posts (unbounded sum),False,LEGACY Gate 5 formula. Inconsistent: aggressive posts use humor_type_confidence (= P(type=aggressive | type classified) — MISSING ml_humor_probability factor). Ambiguous posts use ml_humor_probability × base_rate. NOT a true P(aggressive). Rename required.,aggressive_candidate_score_sum,True,aggressive_candidate_score_sum
aggressive_prob_mean,humor_type_confidence (aggressive posts) + ml_humor_probability × base_rate (ambiguous),humor_full_chain_master.csv,classifier_confidence,0.0,1.0,False,Same formula issue as aggressive_prob_sum. Mean of legacy composite score. Rename required.,aggressive_candidate_score_mean,True,aggressive_candidate_score_mean
aggressive_prob_max,humor_type_confidence (aggressive posts) + ml_humor_probability × base_rate (ambiguous),humor_full_chain_master.csv,classifier_confidence,0.0,1.0,False,Max of legacy composite score per firm-period. Missing ml_humor_probability factor for classified posts. Rename required.,aggressive_candidate_score_max,True,aggressive_candidate_score_max
aggressive_prob_intensity,aggressive_prob_sum / humor_count,derived from humor_full_chain_master.csv,derived_candidate_score,0.0,"> 1 possible (denominator = humor_count, not total_posts)",False,Legacy formula / humor_count. Denominator is humor posts only; sum includes all posts. Rename and rebounding required.,aggressive_candidate_score_intensity,True,aggressive_candidate_score_intensity_bounded (use total_posts denominator)
aggressive_candidate_score_sum,ml_humor_probability × humor_type_confidence (aggressive) + ml_humor_probability × base_rate (ambiguous),humor_full_chain_master.csv,aggressive_specific_probability,0.0,n_posts (unbounded sum),False,CORRECTED Gate 5.1 formula. Unified: P(humor) × P(type=aggressive | humor) for all posts. For classified aggressive: ml_humor_probability × humor_type_confidence. For ambiguous: ml_humor_probability × AGGRESSIVE_BASE_RATE. Consistent approximation of P(post is aggressive).,aggressive_candidate_score_sum,False,no rename needed — corrected formula
aggressive_candidate_score_intensity_bounded,aggressive_candidate_score_sum / total_posts,derived from humor_full_chain_master.csv + hypothesis_variables,aggressive_specific_probability,0.0,1.0,True,"Corrected bounded intensity. Divides by total_posts (not humor_count) ensuring [0,1] range. Interpretable as firm-level average P(post is aggressive).",aggressive_candidate_score_intensity_bounded,False,no rename needed
top_k_aggressive_score,humor_type_confidence (top-3 aggressive posts),humor_full_chain_master.csv,classifier_confidence,0.0,1.0,False,Mean humor_type_confidence of top-3 aggressive posts per firm-period. Only nonzero for firms with ≥1 v1 aggressive post (5/430 in primary). Not a population-level probability. H3 BLOCKED (nonzero<30).,top_k_aggressive_type_confidence,True,top_k_aggressive_type_confidence; note H3 BLOCKED
hc_v2_aggressive_candidate_count,v2_aggressive_candidate_count,humor_firm_period_hypothesis_variables.csv,llm_candidate_score,0.0,EXCEEDS total_posts (firm-level fixed value suspected),False,"CRITICAL FINDING: v2_aggressive_candidate_count EXCEEDS total_posts in 189/3767 firm-periods (max ratio=9.0). The variable appears to be a FIRM-LEVEL fixed score (e.g., Albertsons: always 7 across multiple periods) rather than a per-period post count. This means normalization by total_posts or humor_count is NOT valid. Use as raw count IV only; do NOT normalize as share/intensity.",hc_v2_aggressive_candidate_count,False,use as count only; do NOT normalize; flag as firm-level score
hc_v2_aggressive_candidate_share,v2_aggressive_candidate_count / total_posts,hypothesis_variables (derived),derived_candidate_score,0.0,"EXCEEDS 1 (max observed = 8.0) — v2_count is firm-level, not per-period count",False,"INVALID: v2_aggressive_candidate_count exceeds total_posts in 189 firm-periods. The numerator appears to be a firm-level fixed score, not a per-period post count. Normalization by total_posts produces values > 1, making this invalid as a share. DO NOT USE as share/intensity. Use hc_v2_aggressive_candidate_count (raw count) only.",INVALID_DO_NOT_USE_AS_SHARE,True,INVALID — remove from H2/H3 share/intensity candidates; use count only
hc_v2_aggressive_candidate_intensity,v2_aggressive_candidate_count / humor_count,hypothesis_variables (derived),derived_candidate_score,0.0,"EXCEEDS 1 (max observed = 7.0) — v2_count is firm-level, not per-period count",False,"INVALID: Same firm-level v2 issue as hc_v2_aggressive_candidate_share. v2_aggressive_candidate_count is a firm-level fixed value, NOT a period-specific count. Dividing by humor_count produces values > 1 in many firm-periods. DO NOT USE as intensity. Use hc_v2_aggressive_candidate_count (raw count) only.",INVALID_DO_NOT_USE_AS_INTENSITY,True,INVALID — remove from H3 intensity candidates; note: v2 is firm-level
hc_rare_class_candidate_intensity,rare_class_candidate_count / humor_count,hypothesis_variables (derived),derived_candidate_score,0.0,>1 possible,False,rare class count / humor_count. May exceed 1. Rename or rebound required if max>1.,hc_rare_class_candidate_intensity_bounded,True,hc_rare_class_candidate_intensity_bounded (divide by total_posts instead)
