후보_ID,표본_층화,Fortune_순위,회사명,X_계정,트윗_ID,트윗_URL,작성일시,본문,유머_존재여부,유머_유형,배정_코더,검토_상태,총_인게이지먼트,로그_총_인게이지먼트,웬디스_유머_존재여부,웬디스_유머_점수,웬디스_유머_유형,웬디스_유형_점수,풀체인_유머_존재여부,풀체인_유머_유형,분류기_불일치,불확실성_점수
B00880,random_fortune_sample_b2,82,Oracle,@oracle,1861088712362258450,https://x.com/oracle/status/1861088712362258450,Mon Nov 25 16:45:01 +0000 2024,"From helping the team make split-second race day decisions to enabling fans to get closer to the action, find out how OCI is helping @RedBullRacing consistently craft winning strategies: https://t.co/dXOvfowZzX https://t.co/tOb3nwV9A3",0,,coder3,pending,79,4.382026635,0,0.328051,non_humorous,0,non_humor,not_applicable,0,0.656102
B00413,wendys_transfer_aggressive_b2,72,Publix Super Markets,@Publix,1566070894598004740,https://x.com/Publix/status/1566070894598004740,Sat Sep 03 14:29:32 +0000 2022,How do you like your bacon? #InternationalBaconDay 🥓,1,2,coder3,pending,23,3.17805383,1,0.605678,aggressive,0.316604,ambiguous,ambiguous_or_review,0,0.788644
B00800,low_engagement_posts_b2,89,Enterprise Products Partners,@EProd_Careers,1679176963074973696,https://x.com/EProd_Careers/status/1679176963074973696,Wed Jul 12 17:12:40 +0000 2023,Enterprise Products is an organization rich in energy-related opportunities. Could this one be right for you? Click here to find out. https://t.co/yy5WUlO15e #OperationsJobs,0,,coder3,pending,0,0,1,0.562539,affiliative,0.416024,ambiguous,ambiguous_or_review,0,0.874922
B00396,wendys_transfer_aggressive_b2,87,Tyson Foods,@tysonfoods,1299090074013966337,https://x.com/tysonfoods/status/1299090074013966337,Thu Aug 27 21:03:04 +0000 2020,"This spring and summer, San Antonio schools maintained their mission to provide critical nutrition for students -- serving more than 2 million meals during that time. Read about more ways we are supporting educators like Jenny this school year. #TysonTogether",0,,coder3,pending,9,2.302585093,1,0.532169,aggressive,0.353093,ambiguous,ambiguous_or_review,0,0.935662
B00857,firm_balanced_sample_b2,51,Progressive,@progressive,1985376634526969998,https://x.com/progressive/status/1985376634526969998,Mon Nov 03 16:00:50 +0000 2025,🎵 Cuz it’s the dog park 🎵 https://t.co/j3B66jvJBc,1,3,coder3,pending,21,3.091042453,0,0.434796,non_humorous,0,non_humor,not_applicable,0,0.869592
B00817,classifier_disagreement_b2,67,Eli Lilly,@EliLillyandCo,1379465944687374341,https://x.com/EliLillyandCo/status/1379465944687374341,Tue Apr 06 16:08:05 +0000 2021,"""I #GotMyShot to protect my friends, my family, and my loved ones."" 

We're excited to join 20 corporations and nonprofits across Indianapolis to support @IndyMayorJoe and Dr. Virginia Caine in the launch of the #GotMyShot campaign 🙌

https://t.co/U4KT8RHdRF | #AlwaysGame https://t.co/KdVzYJbCzi",0,,coder3,pending,45,3.828641396,0,0.459567,non_humorous,0,humor,affiliative,1,0.919134
B01437,random_fortune_sample_b2,45,Johnson & Johnson,@JNJNews,1321844240490491904,https://x.com/JNJNews/status/1321844240490491904,Thu Oct 29 16:00:00 +0000 2020,"Dr. Paul Stoffels, Vice Chairman of the Executive Committee &amp; CSO, #JNJ, answers a question on many people’s minds—""Will a vaccine be needed for people who have already been affected by #COVID19?”
Join “The Road to a Vaccine” conversation LIVE on Tuesdays: https://t.co/RB9HkP0VMs https://t.co/muYdY3pEyt",0,,coder3,pending,51,3.951243719,0,0.468406,non_humorous,0,ambiguous,ambiguous_or_review,0,0.936812
B01322,firm_balanced_sample_b2,11,Microsoft,@microsoft,1998536971346690088,https://x.com/microsoft/status/1998536971346690088,Tue Dec 09 23:35:19 +0000 2025,"Farmers in the Maipo River basin are saving 74 million cubic feet of water using Kilimo's data-driven irrigation insights powered by Azure. 

Learn how Chilean farmers are using data and real time monitoring to power sustainability in these ecosystems: https://t.co/xsLoXhd1UL https://t.co/g0yIDXahpN",0,,coder3,pending,479,6.173786104,0,0.40705,non_humorous,0,ambiguous,ambiguous_or_review,0,0.8141
B01211,wendys_transfer_aggressive_b2,69,Nationwide,@nationwide,1636546122515726338,https://x.com/nationwide/status/1636546122515726338,Fri Mar 17 01:52:55 +0000 2023,"retweet if you
 really
   really
     really
       really
       really
      really
    really
  really
really
really 
want the #NWSL season to start!",1,2,coder3,pending,402,5.998936562,1,0.615732,aggressive,0.331729,non_humor,not_applicable,1,0.768536
B01468,classifier_disagreement_b2,15,Cardinal Health,@cardinalhealth,1633097671186472962,https://x.com/cardinalhealth/status/1633097671186472962,Tue Mar 07 13:30:00 +0000 2023,"How do you drive successful #automation? Our Pharma CIO, Greg Boggs, shares his take on the importance of aligning with the business to improve customer and employee experiences via @CIOonline.  https://t.co/7qFS8hNXdM",0,,coder3,pending,8,2.197224577,0,0.383111,non_humorous,0,humor,self_enhancing,1,0.766222
B01096,wendys_transfer_aggressive_b2,22,Ford Motor,@Ford,1801258118678012378,https://x.com/Ford/status/1801258118678012378,Thu Jun 13 14:19:35 +0000 2024,"Thanks for sharing your road trip ideas. I loved seeing routes where people are using #BlueCruise. The BC team put together this list of ‘Great BlueCruise Road Trips’ &amp; included some of your ideas. If you take a #BlueCruiseSummer road trip, let me know!  
https://t.co/OMjRyCJ4VV https://t.co/tnzmj3GTfX",0,,coder3,pending,146,4.990432587,1,0.531832,aggressive,0.359078,ambiguous,ambiguous_or_review,0,0.936336
B00494,random_fortune_sample_b2,91,General Dynamics,@generaldynamics,1584195204176748545,https://x.com/generaldynamics/status/1584195204176748545,Sun Oct 23 14:49:04 +0000 2022,"Bath-built USS Farragut (DDG 99) transits the Ionian Sea in the Mediterranean during the NATO-led vigilance activity Neptune Strike 22.2, Oct. 15. The ship launched at Bath Iron Works in 2005. #BathBuiltinAction 
📷 via @usnavy https://t.co/ag1MbGF1n2",0,,coder3,pending,13,2.63905733,0,0.398922,non_humorous,0,humor,affiliative,1,0.797844
B00925,random_fortune_sample_b2,77,AbbVie,@abbvie,1732888968205566378,https://x.com/abbvie/status/1732888968205566378,Thu Dec 07 22:25:00 +0000 2023,"During our ""Science of Skin"" event, we sat with patients living with chronic #SkinDiseases to discuss the mental and psychosocial symptoms that exist beyond the skin's surface. Read more:",0,,coder3,pending,4,1.609437912,1,0.526175,affiliative,0.383384,non_humor,not_applicable,1,0.94765
B00566,humor_presence_uncertain_b2,15,Cardinal Health,@cardinalhealth,1760064734571663363,https://x.com/cardinalhealth/status/1760064734571663363,Tue Feb 20 22:11:47 +0000 2024,"AI can be a force for good in healthcare. Our CTO, Jerome Revish, is speaking on a panel at #ViVE2024 about how we can use #AI to alleviate the overall administrative burden on #healthcare workers. https://t.co/IhKXpKer2i",0,,coder3,pending,10,2.397895273,1,0.568657,affiliative,0.345629,humor,self_enhancing,0,0.862686
B01320,classifier_disagreement_b2,22,Ford Motor,@Ford,1811417262139818167,https://x.com/Ford/status/1811417262139818167,Thu Jul 11 15:08:24 +0000 2024,"RT @FordMustang: An exterior that’s sculpted for speed. The 2025 Ford MustangⓇ GTD.

Preproduction computer-generated images shown. Actual…",0,,coder3,pending,93,4.543294782,1,0.507169,aggressive,0.295922,non_humor,not_applicable,1,0.985662
B01150,humor_presence_uncertain_b2,59,MetLife,@metlife,1416040606049214467,https://x.com/metlife/status/1416040606049214467,Fri Jul 16 14:22:43 +0000 2021,"Know an early-stage fintech that is helping low-income customers and small enterprises not just respond to the pandemic, but rebound, rebuild, and recover after the past year’s devastation? Applications for #InclusiveFintech50 are now being accepted: https://t.co/OalUIwcVbU https://t.co/sQIu7rci3b",0,,coder3,pending,4,1.609437912,0,0.496189,non_humorous,0,ambiguous,ambiguous_or_review,0,0.992378
B01052,classifier_disagreement_b2,20,Bank of America,@bankofamerica,2062913216381067570,https://x.com/bankofamerica/status/2062913216381067570,Fri Jun 05 15:03:32 +0000 2026,"As we celebrate #America250 and together with @VetTix and @FIFAcom, we’re offering thousands of free @FIFAWorldCup 2026™ tickets to veterans, active military, first responders and their families. https://t.co/qMEGqnB1UT https://t.co/3tDN4vUKs3",0,,coder3,pending,36,3.610917913,0,0.399107,non_humorous,0,humor,affiliative,1,0.798214
B00524,random_fortune_sample_b2,37,Comcast,@comcast,1988369840457875742,https://x.com/comcast/status/1988369840457875742,Tue Nov 11 22:14:46 +0000 2025,🇺🇸 Operation Old Glory is a unique initiative started by our military veteran employees to honor our nation's symbol and people’s individual connections to the American flag. Learn how we honor veterans and the military community year-round: https://t.co/v7gyWDYqvO https://t.co/5J73IddEcr,0,,coder3,pending,30,3.433987204,0,0.384815,non_humorous,0,non_humor,not_applicable,0,0.76963
B00521,high_engagement_posts_b2,37,Comcast,@comcast,2013660581153116393,https://x.com/comcast/status/2013660581153116393,Tue Jan 20 17:11:09 +0000 2026,"Get ready for high-speed, high-octane thrills on the new Fast &amp; Furious: Hollywood Drift coaster, coming 2027 to Universal Orlando Resort. @TheFastSaga https://t.co/AwCtr3cACj",0,,coder3,pending,3631,8.19753874,0,0.339822,non_humorous,0,humor,affiliative,1,0.679644
B00634,firm_balanced_sample_b2,100,Massachusetts Mutual Life,@massmutual,1388120202752237568,https://x.com/massmutual/status/1388120202752237568,Fri Apr 30 13:17:01 +0000 2021,Graduation🎓 season is almost here! Do you know what you’re giving your favorite college senior to congratulate them on earning their degree? Here’s a thread of financial gifts for college grads that will teach them to save wisely. https://t.co/VkWHxvGBJK,0,,coder3,pending,3,1.386294361,1,0.676354,affiliative,0.349556,humor,affiliative,0,0.647292
