no,id,tweet_url,text,final_humor_binary,final_humor_source,final_humor_label_available,pred_humor_final_050,prediction_set,p_humor_final_tfidf_logreg,log1p_p_humor_final_tfidf_logreg,model_humor,p_humor,p_humor_ml,reply_count,favorite_count,retweet_count,quote_count,bookmark_count,view_count,created_year,created_month,created_day,created_time,is_quote_status,is_retweet_text,engagement_total,engagement_favorite_retweet,favorite_count,retweet_count,reply_count,quote_count,bookmark_count,log1p_engagement_total,log1p_engagement_favorite_retweet,log1p_favorite_count,log1p_retweet_count,log1p_reply_count,log1p_quote_count,log1p_bookmark_count
1,2065192194277818396,https://x.com/Wendys/status/2065192194277818396,if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1,1,human,1,1,labeled,0.689021,0.524149,1,0.6370,0.357664,37,401,69,9,54,43444,2026,6,11,21:59:23,False,false,570,470,401,69,37,9,54,6.3473892096560105,6.154858094016418,5.996452088619021,4.248495242049359,3.6375861597263857,2.302585092994046,4.007333185232471
2,2064726596179706275,https://x.com/Wendys/status/2064726596179706275,"Her: Gimme 10
Me: minutes or nuggets?",1,human,1,1,labeled,0.536777,0.429688,1,0.6379,0.755204,83,507,40,8,11,40600,2026,6,10,15:09:15,False,false,649,547,507,40,83,8,11,6.476972362889683,6.306275286948016,6.230481447578482,3.713572066704308,4.430816798843313,2.1972245773362196,2.4849066497880004
3,2064504139749417369,https://x.com/Wendys/status/2064504139749417369,What does one wear to meet a minion,0,human,1,0,labeled,0.445943,0.368762,0,0.4224,0.40964,75,411,26,7,15,44746,2026,6,10,00:25:18,False,false,534,437,411,26,75,7,15,6.282266746896006,6.082218910376446,6.021023349349527,3.295836866004329,4.330733340286331,2.0794415416798357,2.772588722239781
4,2063002561263640786,https://x.com/Wendys/status/2063002561263640786,"The KPIs, ROIs, and LOLs are about to go off the charts.
Congratulations to our NEW Chief Tasting Officer Amber Luster 🎉🎉🎉 We can’t wait to see all the incredible things you do with your title. 

And thank you to all our fans who submitted an application❤️ https://t.co/WxU0LzL72Z",0,human,1,1,labeled,0.502508,0.407136,0,0.4526,0.43746,46,209,16,1,13,47924,2026,6,5,20:58:33,False,false,285,225,209,16,46,1,13,5.655991810819852,5.420534999272286,5.3471075307174685,2.833213344056216,3.8501476017100584,0.6931471805599453,2.639057329615259
5,2061565494453555359,https://x.com/Wendys/status/2061565494453555359,"Came for a Frosty, stayed for the door to the backrooms https://t.co/0BMCyHc7XK",1,human,1,0,labeled,0.443588,0.367132,1,0.5767,0.495033,76,650,52,11,30,66225,2026,6,1,21:48:10,False,false,819,702,650,52,76,11,30,6.709304340258299,6.555356891810665,6.478509642208569,3.970291913552122,4.343805421853684,2.4849066497880004,3.4339872044851463
6,2060433958609813857,https://x.com/Wendys/status/2060433958609813857,"Y’all nearly crashed the system with all your applications, but we’ve finally made our top selections. Stay tuned for an announcement coming real soon 👀👀👀 https://t.co/f6wqnO0yeF",1,human,1,1,labeled,0.514636,0.415175,1,0.5960,0.267665,62,152,21,7,9,39657,2026,5,29,18:51:51,False,false,251,173,152,21,62,7,9,5.529429087511423,5.159055299214529,5.030437921392435,3.091042453358316,4.143134726391533,2.0794415416798357,2.302585092994046
7,2060406022825554333,https://x.com/Wendys/status/2060406022825554333,50% off on Sat &amp; Sun too 💅,,,0,1,unlabeled,0.543407,0.433992,1,0.5290,0.430035,10,48,8,0,1,22076,2026,5,29,17:00:50,False,false,67,56,48,8,10,0,1,4.219507705176107,4.04305126783455,3.8918202981106265,2.1972245773362196,2.3978952727983707,0.0,0.6931471805599453
8,2060405944735957384,https://x.com/Wendys/status/2060405944735957384,rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt,1,human,1,1,labeled,0.500335,0.405689,1,0.5726,0.25546,59,157,28,4,4,59705,2026,5,29,17:00:32,True,false,252,185,157,28,59,4,4,5.53338948872752,5.225746673713202,5.062595033026967,3.367295829986474,4.0943445622221,1.6094379124341003,1.6094379124341003
9,2060393163458498982,https://x.com/Wendys/status/2060393163458498982,28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽),1,human,1,1,labeled,0.658472,0.505897,1,0.6065,0.306152,16,170,16,3,6,49054,2026,5,29,16:09:45,True,false,211,186,170,16,16,3,6,5.356586274672012,5.231108616854587,5.14166355650266,2.833213344056216,2.833213344056216,1.3862943611198906,1.9459101490553132
10,2059700189909111001,https://x.com/Wendys/status/2059700189909111001,Big star energy. Pocket-sized legends. https://t.co/oNQdB0s9Mn,1,human,1,1,labeled,0.513319,0.414305,1,0.6034,0.08009,32,303,45,2,25,45120,2026,5,27,18:16:07,False,false,407,348,303,45,32,2,25,6.0112671744041615,5.855071922202427,5.717027701406222,3.828641396489095,3.4965075614664802,1.0986122886681096,3.258096538021482
11,2059459943040753916,https://x.com/Wendys/status/2059459943040753916,"It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz",1,human,1,1,labeled,0.608569,0.475345,1,0.6529,0.08009,18,192,15,0,13,43398,2026,5,27,02:21:27,False,false,238,207,192,15,18,0,13,5.476463551931511,5.337538079701318,5.262690188904886,2.772588722239781,2.9444389791664403,0.0,2.639057329615259
12,2059351523583311924,https://x.com/Wendys/status/2059351523583311924,Be there. Seaport Square.,0,human,1,0,labeled,0.452002,0.372943,0,0.4293,0.40964,14,89,9,2,4,55132,2026,5,26,19:10:38,True,false,118,98,89,9,14,2,4,4.77912349311153,4.59511985013459,4.499809670330265,2.302585092994046,2.70805020110221,1.0986122886681096,1.6094379124341003
13,2057593602490970314,https://x.com/Wendys/status/2057593602490970314,Hi @KenJennings,0,human,1,0,labeled,0.349469,0.299711,0,0.3606,0.467293,5,128,2,0,3,27416,2026,5,21,22:45:17,False,false,138,130,128,2,5,0,3,4.9344739331306915,4.875197323201151,4.859812404361672,1.0986122886681096,1.791759469228055,0.0,1.3862943611198906
14,2057590511653794039,https://x.com/Wendys/status/2057590511653794039,This isn’t my living room btw I was at a friends house,1,human,1,1,labeled,0.687834,0.523446,1,0.6340,0.44814,16,164,6,0,1,24293,2026,5,21,22:33:00,False,false,187,170,164,6,16,0,1,5.236441962829949,5.14166355650266,5.10594547390058,1.9459101490553132,2.833213344056216,0.0,0.6931471805599453
15,2057590262373785937,https://x.com/Wendys/status/2057590262373785937,@James_Holzhauer,0,human,1,0,labeled,0.283363,0.249484,0,0.2870,0.467293,1,24,1,0,1,13228,2026,5,21,22:32:01,False,false,27,25,24,1,1,0,1,3.332204510175204,3.258096538021482,3.2188758248682006,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453
