id,created_date,created_year,created_month,created_hour,year_quarter,log1p_engagement_total,log1p_engagement_favorite_retweet,log1p_favorite_count,log1p_retweet_count,log1p_reply_count,log1p_quote_count,log1p_bookmark_count,pred_humor_final_050,p_humor_final_tfidf_logreg,final_humor_label_available,final_humor_binary,pred_humor_type_group_model,is_aggressive_humor,is_other_humor,final_humor_type_group,text_length,hashtag_count,mention_count,quarter_total_posts,h3_quarter_filter_10,humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,aggressive_humor_proportion_quarter_loo_sq,other_humor_proportion_quarter_loo_sq,h1_full_sample_flag,h1_human_validation_flag,h2_model_humor_only_flag,h2_human_validation_flag,h3_analysis_flag,h2_aggressive_model_dummy,h2_aggressive_human_dummy
2065192194277818396,2026-06-11,2026,6,21,2026-Q2,6.347389,6.154858,5.996452,4.248495,3.637586,2.302585,4.007333,1,0.689021,1,1.0,other_humor,0,1,other_humor,110,0,0,59,1,0.586207,0.15517241,0.43103448,0.34363864684900003,0.024078476825208105,0.1857907229488704,1,1,1,1,1,0.0,0.0
2064726596179706275,2026-06-10,2026,6,15,2026-Q2,6.476972,6.306275,6.230481,3.713572,4.430817,2.197225,2.484907,1,0.536777,1,1.0,aggressive,1,0,aggressive,37,0,0,59,1,0.586207,0.13793103,0.44827586,0.34363864684900003,0.019024969036860902,0.20095124665873962,1,1,1,1,1,1.0,1.0
2064504139749417369,2026-06-10,2026,6,0,2026-Q2,6.282267,6.082219,6.021023,3.295837,4.330733,2.079442,2.772589,0,0.445943,1,0.0,non_humor,0,0,non_humor,35,0,0,59,1,0.603448,0.15517241,0.44827586,0.364149488704,0.024078476825208105,0.20095124665873962,1,1,0,0,1,NA,NA
2063002561263640786,2026-06-05,2026,6,20,2026-Q2,5.655992,5.420535,5.347108,2.833213,3.850148,0.693147,2.639057,1,0.502508,1,0.0,other_humor,0,1,non_humor,280,0,0,59,1,0.586207,0.15517241,0.43103448,0.34363864684900003,0.024078476825208105,0.1857907229488704,1,1,1,0,1,0.0,NA
2061565494453555359,2026-06-01,2026,6,21,2026-Q2,6.709304,6.555357,6.47851,3.970292,4.343805,2.484907,3.433987,0,0.443588,1,1.0,non_humor,0,0,missing,79,0,0,59,1,0.603448,0.15517241,0.44827586,0.364149488704,0.024078476825208105,0.20095124665873962,1,1,0,0,1,NA,NA
2060433958609813857,2026-05-29,2026,5,18,2026-Q2,5.529429,5.159055,5.030438,3.091042,4.143135,2.079442,2.302585,1,0.514636,1,1.0,other_humor,0,1,missing,178,0,0,59,1,0.586207,0.15517241,0.43103448,0.34363864684900003,0.024078476825208105,0.1857907229488704,1,1,1,0,1,0.0,NA
2060406022825554333,2026-05-29,2026,5,17,2026-Q2,4.219508,4.043051,3.89182,2.197225,2.397895,0.0,0.693147,1,0.543407,0,NA,other_humor,0,1,non_humor,30,0,0,59,1,0.586207,0.15517241,0.43103448,0.34363864684900003,0.024078476825208105,0.1857907229488704,1,0,1,0,1,0.0,NA
2060405944735957384,2026-05-29,2026,5,17,2026-Q2,5.533389,5.225747,5.062595,3.367296,4.094345,1.609438,1.609438,1,0.500335,1,1.0,other_humor,0,1,other_humor,75,0,0,59,1,0.586207,0.15517241,0.43103448,0.34363864684900003,0.024078476825208105,0.1857907229488704,1,1,1,1,1,0.0,0.0
2060393163458498982,2026-05-29,2026,5,16,2026-Q2,5.356586,5.231109,5.141664,2.833213,2.833213,1.386294,1.94591,1,0.658472,1,1.0,aggressive,1,0,aggressive,97,0,0,59,1,0.586207,0.13793103,0.44827586,0.34363864684900003,0.019024969036860902,0.20095124665873962,1,1,1,1,1,1.0,1.0
2059700189909111001,2026-05-27,2026,5,18,2026-Q2,6.011267,5.855072,5.717028,3.828641,3.496508,1.098612,3.258097,1,0.513319,1,1.0,other_humor,0,1,missing,62,0,0,59,1,0.586207,0.15517241,0.43103448,0.34363864684900003,0.024078476825208105,0.1857907229488704,1,1,1,0,1,0.0,NA
2059459943040753916,2026-05-27,2026,5,2,2026-Q2,5.476464,5.337538,5.26269,2.772589,2.944439,0.0,2.639057,1,0.608569,1,1.0,other_humor,0,1,other_humor,86,0,0,59,1,0.586207,0.15517241,0.43103448,0.34363864684900003,0.024078476825208105,0.1857907229488704,1,1,1,1,1,0.0,0.0
2059351523583311924,2026-05-26,2026,5,19,2026-Q2,4.779123,4.59512,4.49981,2.302585,2.70805,1.098612,1.609438,0,0.452002,1,0.0,non_humor,0,0,non_humor,25,0,0,59,1,0.603448,0.15517241,0.44827586,0.364149488704,0.024078476825208105,0.20095124665873962,1,1,0,0,1,NA,NA
