"id","tweet_url","text","final_humor_label_available","final_humor_binary","final_humor_type_group","final_humor_type"
"2065192194277818396","https://x.com/Wendys/status/2065192194277818396","if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1","1","1","other_humor","affiliative"
"2064726596179706275","https://x.com/Wendys/status/2064726596179706275","Her: Gimme 10
Me: minutes or nuggets?","1","1","aggressive","aggressive"
"2060405944735957384","https://x.com/Wendys/status/2060405944735957384","rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt","1","1","other_humor","self-enhancing"
"2060393163458498982","https://x.com/Wendys/status/2060393163458498982","28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽)","1","1","aggressive","aggressive"
"2059459943040753916","https://x.com/Wendys/status/2059459943040753916","It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz","1","1","other_humor","self-enhancing"
"2057589742649192842","https://x.com/Wendys/status/2057589742649192842","it's not roasting if it's true 😌 @Jeopardy https://t.co/Da3mvCbEFB","1","1","aggressive","aggressive"
"2041272778461258077","https://x.com/Wendys/status/2041272778461258077","The Bourbon Bacon Cheeseburger and Pretzel Bacon Pub Burger have made it to our championship! Get your votes in to decide who will be crowned the winner and end up back on the menu https://t.co/VIgjuIMDNF","1","1","other_humor","affiliative"
"2041187699764163013","https://x.com/Wendys/status/2041187699764163013","woke up thinking about who’s gonna dunk in the national championship game tonight to unlock a free small fry and Frosty for America tomorrow","1","1","other_humor","affiliative"
"2039789214120996993","https://x.com/Wendys/status/2039789214120996993","Congrats to these Official Wendy’s Dunk Team athletes on making it to the Final Four. You dunked into hoops. You dunked into Frosty. You dunked into our hearts. https://t.co/b6IeqJW8YD","1","1","other_humor","affiliative"
"2035444365800214846","https://x.com/Wendys/status/2035444365800214846","On and off the court, Coen Carr can’t stop (won’t stop) dunking. https://t.co/pvLNEM1zSj","1","1","other_humor","affiliative"
"2035415108646490534","https://x.com/Wendys/status/2035415108646490534","I hope Yaxel doesn’t dunk his fries in his Frosty this violently https://t.co/l75Yp2p6YX","1","1","aggressive","aggressive"
"2031884901557965271","https://x.com/Wendys/status/2031884901557965271","What the fries at the bottom of my biggie bag see when I go scavenging for them https://t.co/qO9JGCgaXs","1","1","other_humor","self-defeating"
"2031738937870364955","https://x.com/Wendys/status/2031738937870364955","travis gonna love the drive thru at his mom's house https://t.co/ssjGEuifjO","1","1","aggressive","aggressive"
"2030030060720164942","https://x.com/Wendys/status/2030030060720164942",".@GenoSmith3 in case things don’t work out in free agency we’re looking for a Chief Tasting Officer…","1","1","other_humor","self-enhancing"
"2015935710449009033","https://x.com/Wendys/status/2015935710449009033","kind of seems like you just wanted a reason to eat nothing but wendys chili for a month?","1","1","other_humor","self-enhancing"
"2012261535259726070","https://x.com/Wendys/status/2012261535259726070","CLOWNS ARE GOIN DOWN. We’re live right now over on
https://t.co/P0GZ7DIn5g","1","1","other_humor","affiliative"
"2012226909820621147","https://x.com/Wendys/status/2012226909820621147","TENDYS VS CLOWNS. WHO U GOT? Streaming some College Football ‘26 later today on twitch https://t.co/FJANT6bsl5","1","1","aggressive","aggressive"
"2009777266847363171","https://x.com/Wendys/status/2009777266847363171","life is so crazy bc wdym i’m giving out bogo dave’s singles or doubles on doordash just bc some lady asked where’s the beef 42 years ago","1","1","other_humor","self-enhancing"
"2001787208093614204","https://x.com/Wendys/status/2001787208093614204","DMing myself 75% off an energy drink rn lol","1","1","other_humor","affiliative"
"2001787068914225487","https://x.com/Wendys/status/2001787068914225487","Attn insomniacs

drop your sleep score below &amp; i’ll give you an energy drink deal based on how much your score sucks (but hurry bc you have to share it by 12/22)","1","1","aggressive","aggressive"
"1988671571091980633","https://x.com/Wendys/status/1988671571091980633",".@fibulaa said we’re Tendy’s now and who are we to argue? Try our new chicken tendys today! https://t.co/8FccP5qRR5","1","1","other_humor","affiliative"
"1980393481068831176","https://x.com/Wendys/status/1980393481068831176","ok so maybe don’t hang it in the louvre","1","1","aggressive","aggressive"
"1976057070555132086","https://x.com/Wendys/status/1976057070555132086","Canceling my hair appointment at angie’s 1.5 salons","1","1","aggressive","aggressive"
"1965414892438958172","https://x.com/Wendys/status/1965414892438958172","Here comes the sun with SVG's @Wendys car lighting up Saturday's race with a breakfast worth getting up for. https://t.co/Im0FWviGot","1","1","other_humor","affiliative"
"1914824035609027011","https://x.com/Wendys/status/1914824035609027011","Can't get Daniel to stop doing swirls in his Talladega @Wendys car https://t.co/o7I4ijkleN","1","1","other_humor","affiliative"
"1907472436305813963","https://x.com/Wendys/status/1907472436305813963","Keep your game fresh this March Madness with a $1 JBC or Double Stack in the Wendy’s app (w/ additional purchase). #NothingBeatsFresh","1","1","aggressive","aggressive"
"1906741707875483676","https://x.com/Wendys/status/1906741707875483676","Get a $1 JBC or Double Stack all March Madness®. And now for the legal, but we added an emoji to make it cute.
#INTHEWENDYSAPPWITHOFFERANDADDITIONALPURCHASE","1","1","other_humor","affiliative"
"1904565120010723568","https://x.com/Wendys/status/1904565120010723568","For all of March Madness®, get a $1 JBC or Double Stack in the Wendy’s app. Don’t worry about forgetting, we have a simple hashtag to help you remember: #DollarJBCorDoubleStackinWendysAppWithOfferLegalSaidToIncludeWithAdditionalPurchase","1","1","other_humor","affiliative"
"1901851793795219858","https://x.com/Wendys/status/1901851793795219858","March Madness bracket if  you picked each matchup by which School's home stadium is closest to an @Wendys location https://t.co/HBiHGjsNdg","1","1","other_humor","self-enhancing"
