audit_reason,brand,post_id,created_at,tweet_url,text,sentiment_label,sentiment_score,humor_type,humor_score,total_engagement,is_viral,human_sentiment_label,human_humor_type,human_notes
low_confidence,Wendy's,1248677192059564034,Fri Apr 10 18:20:16 +0000 2020,https://x.com/Wendys/status/1248677192059564034,"@Wendys one time i was supposed to meet girl at the movies, she quit replying 30 minutes before the movie. i show up to the movies lookin for her and she was there w another dude",negative,0.5190532803535461,Affiliative humor,0.2068440020084381,76,0,,,
low_confidence,Wendy's,1248681442474889216,Fri Apr 10 18:37:09 +0000 2020,https://x.com/Wendys/status/1248681442474889216,@Wendys i was ghosted twice by a guy who worked at mcdonalds his name was jordan,negative,0.511951744556427,Self-enhancing humor,0.21477684378623962,19,0,,,
low_confidence,Wendy's,1507071241999560707,Thu Mar 24 19:05:58 +0000 2022,https://x.com/Wendys/status/1507071241999560707,"After reviewing the play, we see a good clean block.",positive,0.5998483896255493,Non-humorous brand message,0.21665418148040771,519,0,,,
low_confidence,MoonPie,1223676538039799809,Sat Feb 01 18:36:36 +0000 2020,https://x.com/MoonPie/status/1223676538039799809,I’m not allowed to post the whole thing but here’s part of the script for our #TheBigThing commercial https://t.co/bWraGxdGfT,negative,0.4724273085594177,Non-humorous brand message,0.21731029450893402,746,0,,,
low_confidence,MoonPie,898697240591585280,Sat Aug 19 00:04:53 +0000 2017,https://x.com/MoonPie/status/898697240591585280,"Some say a MoonPie is just an inside out s'more. 

But in reality, a s'more is just an inside out MoonPie.",negative,0.3660842180252075,Self-enhancing humor,0.21742895245552063,399,0,,,
low_confidence,MoonPie,908713850748280832,Fri Sep 15 15:27:19 +0000 2017,https://x.com/MoonPie/status/908713850748280832,If you've got a MoonPie in one hand and a grappling hook in the other there's really no telling what you're capable of,negative,0.44714680314064026,Self-defeating humor,0.21964362263679504,735,0,,,
low_confidence,Wendy's,2041270386478780749,Mon Apr 06 21:42:39 +0000 2026,https://x.com/Wendys/status/2041270386478780749,ONLY A FEW HOURS UNTIL SOMEONE DUNKS THEIR WAY INTO AMERICAN HISTORY,negative,0.5899708271026611,Self-enhancing humor,0.22044722735881805,178,0,,,
low_confidence,Coca-Cola,1355191473898184709,Fri Jan 29 16:30:00 +0000 2021,https://x.com/CocaCola/status/1355191473898184709,The only 35 degrees we want to feel this winter is an ice-cold Coke.,negative,0.8517349362373352,Non-humorous brand message,0.22102592885494232,926,0,,,
low_confidence,MoonPie,976204808637042690,Tue Mar 20 21:12:18 +0000 2018,https://x.com/MoonPie/status/976204808637042690,Hearing a lot of chatter on the frisbee chat rooms that some players would love to throw one of our MoonPies like a disc which isn’t good !!,negative,0.7589457631111145,Self-enhancing humor,0.22164811193943024,3154,0,,,
low_confidence,MoonPie,1526034149546639361,Mon May 16 02:57:48 +0000 2022,https://x.com/MoonPie/status/1526034149546639361,"Lunar eclipses are so un-spectacular that if nobody told you what was happening to the Moon you’d probably not notice at all.

Just sayin’.",negative,0.7121492028236389,Self-defeating humor,0.22193953394889832,51967,1,,,
