candidate_id,sampling_stratum,fortune_rank,company_name,assigned_coder,text,presence_code,humor_label
C01304,random_fortune_sample,19,Centene,coder1,"To address the holistic needs of diverse and complex Medicare members, Centene partners with providers like @GalileoHealth, who set a new standard of care offering virtual and in-home care as well as mobile clinics to meet members where they are. https://t.co/a8ftyYr8DB",0,0
C00398,humor_presence_uncertain,8,McKesson,coder1,"Breakthroughs in cancer care begin with bold research. Sarah Cannon Research Institute (SCRI) leads the way by conducting community-based clinical trials. As a leading oncology research organization, SCRI brings promising therapies closer to patients: https://t.co/KmY3No8qIM https://t.co/mbZtg9noI3",0,0
C00387,high_engagement_posts,69,Nationwide,coder1,"Grateful for all the blessings and lessons, friends and relationships built on this journey! Thank you! ❤️",0,0
C00550,full_chain_aggressive,57,Albertsons,coder1,It’s Rotisserie Chicken Day! Pick up a Signature Café® or Open Nature® whole roasted chicken from the Deli today 🍗 https://t.co/NgYNDLxmQf,0,0
C00598,firm_balanced_sample,28,Verizon Communications,coder1,".@Verizon has announced that Dan Schulman has been appointed CEO. Dan has served on Verizon's Board since 2018. He will bring a proven record of transformative leadership and deep telecom industry experience to help us enter our next chapter of growth.

https://t.co/Ma3hRFgzMR https://t.co/H5OLuht3Nc",0,0
C01114,random_fortune_sample,2,Walmart,coder1,"Just got my Nintendo Switch 2 from @Walmart, right on time as promised! 🎮🚚 Thrilled with the delivery and they even tossed in some sweet goodies! 🙌 https://t.co/7ylI2oeXsY",1,1
C01366,random_fortune_sample,85,Charter Communications,coder1,"Spectrum Promotes Steve Williams to Senior Vice President, Network Engineering and Technology: https://t.co/CfN8F050Oj https://t.co/2hRizNvaGn",0,0
C00135,wendys_transfer_aggressive,16,Nvidia,coder1,"""AI has created more than half a million jobs. Companies that use AI grow faster. When they grow faster, they hire more people.""

NVIDIA CEO Jensen Huang counters threats of job displacement in his conversation with SCSP's @Ylli_Bajraktari on Memos to the President. https://t.co/Z21ctNpgQR",1,1
C01118,firm_balanced_sample,100,Massachusetts Mutual Life,coder1,Second on our list of most popular blog posts is a look at applying for a mortgage when you're already retired. It can be a little tricky.,1,1
C01165,high_engagement_posts,46,PepsiCo,coder1,"Innovation Alert: New @rockstarenergy Unplugged is now on shelves (and online!). Made with hemp seed oil + B vitamins, with only 80mg of caffeine, in 3 tasty flavors. https://t.co/NzCL1Fi3GH",0,0
C00214,firm_balanced_sample,96,Travelers,coder1,"“Factors unrelated to an individual’s injury, such as fear, unrealistic expectations, lack of sleep or minimal social support, can hinder the recovery process,” said Dr. Marcos Iglesias, chief medical director @Travelers. 

https://t.co/Vja4fAVlXi",0,0
C01182,random_fortune_sample,35,AT&T,coder1,🔥#ATTAnnihilatorCup is back starting 5/1! Thursdays in May… friendships will be tested (@ludwig @loltyler1 💙) - while other alliances may be formed… - https://t.co/zsyZDaDMtm https://t.co/hCDrr0xwd4,1,1
C00790,wendys_transfer_aggressive,27,Kroger,coder1,Imagine dating someone who has never tried Kroger sushi 🚩,1,1
C00761,random_fortune_sample,20,Bank of America,coder1,"Fredbird likes to rest his wings, but why is he glued to his phone? https://t.co/SENaHqH8tC",1,1
C00511,random_fortune_sample,20,Bank of America,coder1,"RT @bryantparknyc: Free concerts are back baby ✨🎤🎭!

We're excited to announce our upcoming season of Picnic Performances presented by @Ban…",0,0
C00445,random_fortune_sample,58,Archer Daniels Midland,coder1,"As a global leader in nutrition, ADM has identified shifts influencing food and beverage development trends in the Europe, Middle East and Africa (EMEA) region. Here’s what this means for the culinary space in the months ahead:

Discover the full report: https://t.co/Z9gnuJjhgB https://t.co/dNYD2jyFpv",1,1
C00706,humor_presence_uncertain,83,Cisco Systems,coder1,"RT @semafor: “We see youth on the African continent using AI tools more than anywhere else in the world.” — @Cisco EVP &amp; Chief People, Poli…",1,1
C01008,classifier_disagreement,78,Prudential Financial,coder1,"At Prudential, doing the right thing underscores what we stand for and how we do business around the world. It's an honor to see this commitment recognized as we are named among the World's Most Ethical Companies for the eighth consecutive year.
https://t.co/WF8v4Diu9g https://t.co/QAJqjv90fH",1,1
C00786,firm_balanced_sample,93,USAA,coder1,"Happy birthday to the @USNationalGuard! We thank the nearly 450,000 Guardsmen who are “Always Ready, Always There!” to serve our communities and our nation. https://t.co/H2myMO8GGG",1,1
C00633,low_engagement_posts,79,TJX,coder1,@jayda_3298 thanks for reaching out. Please call Associate Relations at 1-800-859-6488,0,0
C01426,low_engagement_posts,91,General Dynamics,coder1,"RT @GD_OTS: The accuracy, dependability, and capability of our products set us apart as the go-to solution, protecting the best with the be…",1,1
C00551,firm_balanced_sample,20,Bank of America,coder1,"Every day we're entering further into the digital age and small businesses are taking note. Compared to 2022, more entrepreneurs are digitally optimizing their businesses. 

Learn more from our 2023 Small Business Owner Report: https://t.co/Sg5acA7Z6A https://t.co/4wRMGPIXhS",0,0
C00069,full_chain_aggressive,62,New York Life Insurance,coder1,The #BraveofHeartFund continues to honor the hard work and sacrifice of healthcare workers by partnering with @ScholAmerica to offer scholarship funding for their families.,0,0
C01350,low_engagement_posts,25,Home Depot,coder1,"@baristaze For help, pls send order details to TeamSocial@homedepot.com so we can share w/ our Home Installs team. –TeamCare",0,0
C00559,classifier_disagreement,79,TJX,coder1,I just posted a recap of my West Coast tour with @tjmaxx! What do you guys think? https://t.co/isRqY7hehl #ad #RoadToReal,0,0
C00763,classifier_disagreement,22,Ford Motor,coder1,RT @FordTrucks: The goal was to forge a path to greatness… objective complete ✅ 🛻 https://t.co/sWzMI75YDV,1,1
C01290,high_engagement_posts,42,Target,coder1,The #Evermore vinyl is here. ❤️ Share your photos with the Target exclusive version of @TaylorSwift13's album: https://t.co/LJhZYRcjdu https://t.co/pMl2LzGIrw,0,0
C00641,random_fortune_sample,44,Walt Disney,coder1,"Get ready, Disney fans! The Disney Entertainment Showcase at #D23: The Ultimate Disney Fan Event is about to begin. Follow along for live updates! https://t.co/cowfthQ6Fg",0,0
C00134,type_uncertain,69,Nationwide,coder1,"This trophy isn’t just heavy, it’s a 30+ lb symbol of impact. The Walter Payton @NFL Man of the Year award honors players who lead on and off the field. https://t.co/ZpZpBBSjDx",1,1
C00316,classifier_disagreement,2,Walmart,coder1,Having free will means I can go on three Walmart runs in a day,1,1
C00347,random_fortune_sample,92,Uber Technologies,coder1,RT @UberEats: The deals are deal-ing 🙌 Whether you're a jetsetter scoring @Delta Skymiles ✈️ living your best life in pajamas with @McDonal…,1,1
C00374,high_engagement_posts,44,Walt Disney,coder1,"Make the memories that never leave you, where magic meets the sea. 🚢🌙✨ https://t.co/qARpm1zEjz",1,1
C00295,low_engagement_posts,89,Enterprise Products Partners,coder1,Discover exciting and rewarding ways to apply your talents at Enterprise Products. Click here to find out more! https://t.co/ckxjaxRmue,1,1
C01442,low_engagement_posts,89,Enterprise Products Partners,coder1,"We want to find the right people to drive our success at Enterprise Products. Could that be you? Click here to learn more about joining our team in Mentone, TX. https://t.co/KmJbc3EqE4 #OperationsJobs",0,0
C00527,type_uncertain,36,Goldman Sachs Group,coder1,"India’s renewable energy capacity could double by the end of the decade, and integrated transmission grid will be the main enabler, said our Co-head of APAC Natural Resources and Clean Energy Research Nikhil Bhandari on CNBC: https://t.co/Je4cDXXa9B https://t.co/Rs47dFXqMa",0,0
C01213,random_fortune_sample,89,Enterprise Products Partners,coder1,"Think you would excel as our next Inland Wheelman – Starting Pay: $600/day – \*Offering $5,000 sign on bonus\*? Consider Enterprise Products as YOUR pipeline for career success! Apply today. https://t.co/y7t5PDbKuy #Wheelman",0,0
C01063,type_uncertain,9,Exxon Mobil,coder1,"RT @CNBC: Darren Woods, CEO and chairman of Exxon Mobil, joined CNBC's 'Squawk Box' to discuss the company's pledge to hit net-zero greenho…",0,0
C00384,type_uncertain,59,MetLife,coder1,"Congrats to Tiffany Loo on having her artwork selected as one of the two-story-high murals that will be on display at @MetLifeStadium in 2021.

She and @BartScott57 discuss the inspiration behind the mural, which honors the millions of essential workers in our community 💚 https://t.co/28TlW327Ed",0,0
C01083,humor_presence_uncertain,75,ConocoPhillips,coder1,"Six months ago, the 36th Annual Rodeo Run helped raise money for 800+ scholarships awarded to Texas students. Our thanks to the 11,000+ participants and to @RODEOHOUSTON, one of the largest scholarship providers in the U.S. https://t.co/Ev0eGax6xC https://t.co/Qo7VYClVRI",0,0
C00702,humor_presence_uncertain,75,ConocoPhillips,coder1,"As the face of #ConocoPhillips' community outreach in Bartlesville, Karen is a well-known community leader. She's driven several local projects, including new playground equipment at an elementary school. Discover more about impact on the community here: https://t.co/zHa6pdRcjo https://t.co/CiCed1XPRd",0,0
C00406,full_chain_aggressive,31,StoneX Group,coder1,"Honesty, humility, hard work and discipline – core values driving success for StoneX and @Saracens. 

Discover what this means for their players as they gear up for The Showdown 6 in association with StoneX, March 28. https://t.co/PetKgCvypK",0,0
C00877,random_fortune_sample,36,Goldman Sachs Group,coder1,RT @NYSE: The NYSE welcomes @GoldmanSachs One Million Black Women: Black in Business to celebrate the start of the latest cohort of 300 sch…,0,0
