"id","tweet_url","text","human_humor_binary","oof_p_humor","oof_pred_humor","error_type","human_humor_label","human_type"
"2065192194277818396","https://x.com/Wendys/status/2065192194277818396","if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1","1","0.564921","1","true_positive","humor",""
"2064726596179706275","https://x.com/Wendys/status/2064726596179706275","Her: Gimme 10
Me: minutes or nuggets?","1","0.551611","1","true_positive","humor",""
"2064504139749417369","https://x.com/Wendys/status/2064504139749417369","What does one wear to meet a minion","0","0.507710","1","false_positive","non_humor",""
"2063002561263640786","https://x.com/Wendys/status/2063002561263640786","The KPIs, ROIs, and LOLs are about to go off the charts.
Congratulations to our NEW Chief Tasting Officer Amber Luster 🎉🎉🎉 We can’t wait to see all the incredible things you do with your title. 

And thank you to all our fans who submitted an application❤️ https://t.co/WxU0LzL72Z","0","0.574604","1","false_positive","non_humor",""
"2061565494453555359","https://x.com/Wendys/status/2061565494453555359","Came for a Frosty, stayed for the door to the backrooms https://t.co/0BMCyHc7XK","1","0.426781","0","false_negative","humor",""
"2060433958609813857","https://x.com/Wendys/status/2060433958609813857","Y’all nearly crashed the system with all your applications, but we’ve finally made our top selections. Stay tuned for an announcement coming real soon 👀👀👀 https://t.co/f6wqnO0yeF","1","0.477984","0","false_negative","humor",""
"2060405944735957384","https://x.com/Wendys/status/2060405944735957384","rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt","1","0.413463","0","false_negative","humor",""
"2060393163458498982","https://x.com/Wendys/status/2060393163458498982","28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽)","1","0.493627","0","false_negative","humor",""
"2059700189909111001","https://x.com/Wendys/status/2059700189909111001","Big star energy. Pocket-sized legends. https://t.co/oNQdB0s9Mn","1","0.462385","0","false_negative","humor",""
"2059459943040753916","https://x.com/Wendys/status/2059459943040753916","It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz","1","0.594512","1","true_positive","humor",""
"2059351523583311924","https://x.com/Wendys/status/2059351523583311924","Be there. Seaport Square.","0","0.518438","1","false_positive","non_humor",""
"2057593602490970314","https://x.com/Wendys/status/2057593602490970314","Hi @KenJennings","0","0.400313","0","true_negative","non_humor",""
"2057590511653794039","https://x.com/Wendys/status/2057590511653794039","This isn’t my living room btw I was at a friends house","1","0.564275","1","true_positive","humor",""
"2057590262373785937","https://x.com/Wendys/status/2057590262373785937","@James_Holzhauer","0","0.400313","0","true_negative","non_humor",""
"2057589742649192842","https://x.com/Wendys/status/2057589742649192842","it's not roasting if it's true 😌 @Jeopardy https://t.co/Da3mvCbEFB","1","0.469700","0","false_negative","humor",""
"2057509387422380064","https://x.com/Wendys/status/2057509387422380064","From one redheaded baddie to another, we just wanted to formally invite you to compete in our Wendy’s look-alike contest this weekend for #worldredheadday

https://t.co/Plz0ZCapd2","1","0.448476","0","false_negative","humor",""
"2056803537636467033","https://x.com/Wendys/status/2056803537636467033","might change my name to Wemby’s and only serve french fries after last night’s game","1","0.578921","1","true_positive","humor",""
"2056485781707821429","https://x.com/Wendys/status/2056485781707821429","If you have flaming locks of auburn hair and a face card that never declines, we have the perfect contest for you 😉
Wendy’s Look-Alike Contest is 3:30-5:30pm May 26th at Seaport Square in NYC! https://t.co/sEUa15Db7G","0","0.569367","1","false_positive","non_humor",""
"2054933542442848652","https://x.com/Wendys/status/2054933542442848652","🟨🟦🍟 https://t.co/y9M33fb83V","0","0.488651","0","true_negative","non_humor",""
"2054257059399389281","https://x.com/Wendys/status/2054257059399389281","Did you know? One cookie dough frosty is the equivalent of 12 dancing fruit videos?","1","0.492155","0","false_negative","humor",""
"2052863834503700774","https://x.com/Wendys/status/2052863834503700774","Their love story is almost as fresh as our beef ❤️ https://t.co/OydNIkjSGV","1","0.547739","1","true_positive","humor",""
"2052727809756348567","https://x.com/Wendys/status/2052727809756348567","Sir, this is a banana https://t.co/mtSrVrahpo","1","0.379366","0","false_negative","humor",""
"2052536825336729602","https://x.com/Wendys/status/2052536825336729602","Rick Devens after last night’s tribal council 
@Rick_Devens @MrBeast #Survivor50","1","0.451625","0","false_negative","humor",""
"2052513071906619715","https://x.com/Wendys/status/2052513071906619715","The necklace of every mom’s dreams is here. Tag a mom and tell us why she deserves one below and we might just surprise a few ❤️ https://t.co/p9208Rvu4D","0","0.521914","1","false_positive","non_humor",""
"2050328345645133837","https://x.com/Wendys/status/2050328345645133837","new spicy chicken sandwich slaps https://t.co/nDUnSsL79R","0","0.380929","0","true_negative","non_humor",""
"2050307931778732264","https://x.com/Wendys/status/2050307931778732264","I'm trying to get as crispy as the bacon on our Baconator this Girls Trip 😎☀️🌺 https://t.co/8oGyl5S3GO","1","0.522405","1","true_positive","humor",""
"2050243908991328359","https://x.com/Wendys/status/2050243908991328359","that bow is not just blue, it's not turquoise, it's not lapis, it's actually cerulean. https://t.co/mswbnGHkgg","1","0.625837","1","true_positive","humor",""
"2048730947017654333","https://x.com/Wendys/status/2048730947017654333","Sweet &amp; Sour is BACK… but only for a limited time unless y’all get loud. Go get the sauce in-restaurant + like, comment and share this post to save it. SWEET &amp; SOUR ARMY DO UR THING. https://t.co/ndF0vOrTpo","0","0.529299","1","false_positive","non_humor",""
"2047463502583869524","https://x.com/Wendys/status/2047463502583869524","THIS would happen at Wendy's 👀 https://t.co/lNjM2bD6pb","1","0.481476","0","false_negative","humor",""
"2042359791239024659","https://x.com/Wendys/status/2042359791239024659","She a baddie with her baddie friend (I'm the baddie friend)","1","0.518955","1","true_positive","humor",""
"2042345361310957745","https://x.com/Wendys/status/2042345361310957745","still rich still craving @wendys new spicy chicken sandwich #wendyspartner","0","0.391563","0","true_negative","non_humor",""
"2042276646711894177","https://x.com/Wendys/status/2042276646711894177","WE’VE GOT OUR WINNER🏆 the Pretzel Bacon Pub Burger is coming back to the menu soon https://t.co/jdeIQgJBnp","0","0.527028","1","false_positive","non_humor",""
"2041987332509782141","https://x.com/Wendys/status/2041987332509782141","The universe called. It said add me on Co-Star. @ wendys_official https://t.co/7HYmQbBfv7","1","0.540944","1","true_positive","humor",""
"2041526924149690528","https://x.com/Wendys/status/2041526924149690528","Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","0","0.301265","0","true_negative","non_humor",""
"2041526852036988999","https://x.com/Wendys/status/2041526852036988999","🫵 YOU GET A FREE FRY AND FROSTY 🫵 AND YOU GET A FREE FRY AND FROSTY 🫵 AND YOU GET A FREE FRY AND FROSTY 🫵 https://t.co/OQ2OI18i5U","0","0.498125","0","true_negative","non_humor",""
"2041332734883201293","https://x.com/Wendys/status/2041332734883201293","Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","0","0.276071","0","true_negative","non_humor",""
"2041332610928951432","https://x.com/Wendys/status/2041332610928951432","WE HAVE A DUNK 🚨that means all of America gets free small fry and Frosty on April 7th. Not to be dramatic, but that was the greatest moment in dunk history.","1","0.470945","0","false_negative","humor",""
"2041332103036412007","https://x.com/Wendys/status/2041332103036412007","GET UP RODDY GAYLE 🤯 https://t.co/Yz0SkHVdwC","1","0.449983","0","false_negative","humor",""
"2041317545412546926","https://x.com/Wendys/status/2041317545412546926","Tip off time here we goooooo 🫣🏀","1","0.563577","1","true_positive","humor",""
"2041286930231373912","https://x.com/Wendys/status/2041286930231373912","You: Wow I hope so and so team wins

Me: DUNKS DUNKS DUNKS DUNKS","1","0.569779","1","true_positive","humor",""
"2041274861461586245","https://x.com/Wendys/status/2041274861461586245","Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","0","0.286365","0","true_negative","non_humor",""
"2041274790418485741","https://x.com/Wendys/status/2041274790418485741","Who shall fulfill the prophecy?!?!?!?!

Tag us when you see who unlocks it 👀 https://t.co/mmdG7uqh7a","1","0.543430","1","true_positive","humor",""
"2041273129272824054","https://x.com/Wendys/status/2041273129272824054","Get your votes in!","0","0.487978","0","true_negative","non_humor",""
"2041272778461258077","https://x.com/Wendys/status/2041272778461258077","The Bourbon Bacon Cheeseburger and Pretzel Bacon Pub Burger have made it to our championship! Get your votes in to decide who will be crowned the winner and end up back on the menu https://t.co/VIgjuIMDNF","1","0.433413","0","false_negative","humor",""
"2041270386478780749","https://x.com/Wendys/status/2041270386478780749","ONLY A FEW HOURS UNTIL SOMEONE DUNKS THEIR WAY INTO AMERICAN HISTORY","1","0.549642","1","true_positive","humor",""
"2041241219603554599","https://x.com/Wendys/status/2041241219603554599","Tonight we are anti lay ups and anti fundamentals and pro massive jams","1","0.530624","1","true_positive","humor",""
"2041187810728727004","https://x.com/Wendys/status/2041187810728727004","Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","0","0.280565","0","true_negative","non_humor",""
"2041187699764163013","https://x.com/Wendys/status/2041187699764163013","woke up thinking about who’s gonna dunk in the national championship game tonight to unlock a free small fry and Frosty for America tomorrow","1","0.439034","0","false_negative","humor",""
"2040186917312979266","https://x.com/Wendys/status/2040186917312979266","Oh good you made it. Introducing: The Official Dunks Menu 🏀 Order in the Wendy’s app all March Madness® long for the chance to win prizes in the Dunkstakes https://t.co/hI3HxiD7VV","0","0.491061","0","true_negative","non_humor",""
"2040186893468393651","https://x.com/Wendys/status/2040186893468393651","YOU COULD GO ALL THE WAY https://t.co/JG6srzZZTh","1","0.534759","1","true_positive","humor",""
"2040186889131479302","https://x.com/Wendys/status/2040186889131479302","keep scrolling 👇👇👇 https://t.co/O8onjjhdsH","0","0.488651","0","true_negative","non_humor",""
