dv,n,predictor,coef,std_error,t_value,p_value,r_squared,interpretation
log1p_engagement_total,564,p_4type_aggressive_model,2.7427,0.6988,3.925,0.0001,0.0267,aggressive 확률이 높을수록 engagement 증가 여부 검토 (보조)
log1p_engagement_total,564,p_4type_aggressive_margin,1.2094,0.3687,3.2805,0.0011,0.0188,aggressive 확률 vs 타 type 최대 확률 차이 → engagement 관계 (보조)
log1p_engagement_favorite_retweet,564,p_4type_aggressive_model,2.8121,0.7087,3.9679,0.0001,0.0273,aggressive 확률이 높을수록 engagement 증가 여부 검토 (보조)
log1p_engagement_favorite_retweet,564,p_4type_aggressive_margin,1.2417,0.374,3.3204,0.001,0.0192,aggressive 확률 vs 타 type 최대 확률 차이 → engagement 관계 (보조)
log1p_favorite_count,564,p_4type_aggressive_model,3.3653,0.7875,4.2734,0.0,0.0315,aggressive 확률이 높을수록 engagement 증가 여부 검토 (보조)
log1p_favorite_count,564,p_4type_aggressive_margin,1.5559,0.4153,3.7462,0.0002,0.0244,aggressive 확률 vs 타 type 최대 확률 차이 → engagement 관계 (보조)
log1p_retweet_count,564,p_4type_aggressive_model,2.6742,0.7453,3.5882,0.0004,0.0224,aggressive 확률이 높을수록 engagement 증가 여부 검토 (보조)
log1p_retweet_count,564,p_4type_aggressive_margin,1.1581,0.3931,2.9463,0.0033,0.0152,aggressive 확률 vs 타 type 최대 확률 차이 → engagement 관계 (보조)
log1p_reply_count,564,p_4type_aggressive_model,1.2862,0.6554,1.9625,0.0502,0.0068,aggressive 확률이 높을수록 engagement 증가 여부 검토 (보조)
log1p_reply_count,564,p_4type_aggressive_margin,0.5364,0.3448,1.5555,0.1204,0.0043,aggressive 확률 vs 타 type 최대 확률 차이 → engagement 관계 (보조)
log1p_quote_count,564,p_4type_aggressive_model,1.9661,0.7636,2.5748,0.0103,0.0117,aggressive 확률이 높을수록 engagement 증가 여부 검토 (보조)
log1p_quote_count,564,p_4type_aggressive_margin,0.9284,0.4017,2.3112,0.0212,0.0094,aggressive 확률 vs 타 type 최대 확률 차이 → engagement 관계 (보조)
log1p_bookmark_count,564,p_4type_aggressive_model,2.7805,0.6696,4.1527,0.0,0.0298,aggressive 확률이 높을수록 engagement 증가 여부 검토 (보조)
log1p_bookmark_count,564,p_4type_aggressive_margin,1.4136,0.3522,4.0138,0.0001,0.0279,aggressive 확률 vs 타 type 최대 확률 차이 → engagement 관계 (보조)
log1p_view_count,564,p_4type_aggressive_model,7.7876,2.2151,3.5158,0.0005,0.0215,aggressive 확률이 높을수록 engagement 증가 여부 검토 (보조)
log1p_view_count,564,p_4type_aggressive_margin,4.2305,1.1631,3.6372,0.0003,0.023,aggressive 확률 vs 타 type 최대 확률 차이 → engagement 관계 (보조)
