company_name,period,period_year,period_month,ticker,cik,target_report_year,filing_date,humor_share,humor_count,total_posts,humor_share_ambiguity_as_zero,humor_share_ambiguity_excluded,humor_share_ambiguity_as_missing,humor_presence_any,aggressive_share,aggressive_count,aggressive_humor_usage_intensity,aggressive_humor_usage_intensity_sq,rare_negative_humor_share,ambiguity_rate,high_ambiguity_flag,source_x_handle_count,source_x_handle_list,CAR_m1_p1,CAR_m3_p3,CAR_m5_p5,CAR_m1_p1_available,CAR_m3_p3_available,CAR_m5_p5_available,same_month_alignment,prefiling_lag_1m_alignment,prefiling_lag_3m_alignment,recommended_main_alignment,naics_code,naics_sector_code,naics_sector_name,industry_homogeneity_control,join_ready_for_CAR_m1_p1,join_ready_for_CAR_m3_p3,join_ready_for_CAR_m5_p5
AT&T,2023-11,2023,11,T,732717,2023,2024-02-23,0.0,0,14,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,0.571429,1,1,@ATT,-0.029893,,,true,false,false,false,false,true,prefiling_lag_3m,,51,Information,51,true,false,false
AT&T,2023-12,2023,12,T,732717,2023,2024-02-23,0.0,0,6,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,0.666667,1,1,@ATT,-0.029893,,,true,false,false,false,false,true,prefiling_lag_3m,,51,Information,51,true,false,false
AT&T,2024-01,2024,01,T,732717,2023,2024-02-23,0.142857,4,28,0.142857,0.25,0.142857,1,0.0,0,0.0,0.0,0.0,0.428571,0,1,@ATT,-0.029893,,,true,false,false,false,true,true,prefiling_lag_1m,,51,Information,51,true,false,false
AT&T,2024-02,2024,02,T,732717,2023,2024-02-23,0.266667,8,30,0.266667,0.571429,,1,0.0,0,0.0,0.0,0.0,0.533333,1,1,@ATT,-0.029893,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,51,Information,51,true,false,false
AT&T,2024-11,2024,11,T,732717,2024,2025-02-12,0.111111,3,27,0.111111,0.375,,1,0.0,0,0.0,0.0,0.0,0.703704,1,1,@ATT,0.026672,,,true,false,false,false,false,true,prefiling_lag_3m,,51,Information,51,true,false,false
AT&T,2024-12,2024,12,T,732717,2024,2025-02-12,0.0,0,26,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,0.576923,1,1,@ATT,0.026672,,,true,false,false,false,false,true,prefiling_lag_3m,,51,Information,51,true,false,false
AT&T,2025-01,2025,01,T,732717,2024,2025-02-12,0.0,0,30,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,0.533333,1,1,@ATT,0.026672,,,true,false,false,false,true,true,prefiling_lag_1m,,51,Information,51,true,false,false
AT&T,2025-02,2025,02,T,732717,2024,2025-02-12,0.2,4,20,0.2,0.363636,0.2,1,0.0,0,0.0,0.0,0.0,0.45,0,1,@ATT,0.026672,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,51,Information,51,true,false,false
AT&T,2025-11,2025,11,T,732717,2025,2026-02-09,0.1,2,20,0.1,0.25,,1,0.0,0,0.0,0.0,0.0,0.6,1,1,@ATT,8.4e-05,,,true,false,false,false,false,true,prefiling_lag_3m,,51,Information,51,true,false,false
AT&T,2025-12,2025,12,T,732717,2025,2026-02-09,0.136364,3,22,0.136364,0.3,,1,0.0,0,0.0,0.0,0.0,0.545455,1,1,@ATT,8.4e-05,,,true,false,false,false,false,true,prefiling_lag_3m,,51,Information,51,true,false,false
AT&T,2026-01,2026,01,T,732717,2025,2026-02-09,0.137931,4,29,0.137931,0.25,0.137931,1,0.0,0,0.0,0.0,0.034483,0.448276,0,1,@ATT,8.4e-05,,,true,false,false,false,true,true,prefiling_lag_1m,,51,Information,51,true,false,false
AT&T,2026-02,2026,02,T,732717,2025,2026-02-09,0.20339,12,59,0.20339,0.4,0.20339,1,0.0,0,0.0,0.0,0.0,0.491525,0,1,@ATT,8.4e-05,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,51,Information,51,true,false,false
AbbVie,2023-11,2023,11,ABBV,1551152,2023,2024-02-20,0.15625,5,32,0.15625,0.3125,,1,0.0,0,0.0,0.0,0.0,0.5,1,1,@abbvie,-0.007376,,,true,false,false,false,false,true,prefiling_lag_3m,,31-33,Manufacturing,31-33,true,false,false
AbbVie,2023-12,2023,12,ABBV,1551152,2023,2024-02-20,0.074074,2,27,0.074074,0.105263,0.074074,1,0.0,0,0.0,0.0,0.0,0.296296,0,1,@abbvie,-0.007376,,,true,false,false,false,false,true,prefiling_lag_3m,,31-33,Manufacturing,31-33,true,false,false
AbbVie,2024-01,2024,01,ABBV,1551152,2023,2024-02-20,0.173913,4,23,0.173913,0.266667,0.173913,1,0.0,0,0.0,0.0,0.0,0.347826,0,1,@abbvie,-0.007376,,,true,false,false,false,true,true,prefiling_lag_1m,,31-33,Manufacturing,31-33,true,false,false
AbbVie,2024-02,2024,02,ABBV,1551152,2023,2024-02-20,0.064516,2,31,0.064516,0.086957,0.064516,1,0.0,0,0.0,0.0,0.0,0.258065,0,1,@abbvie,-0.007376,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,31-33,Manufacturing,31-33,true,false,false
AbbVie,2024-11,2024,11,ABBV,1551152,2024,2025-02-14,0.055556,1,18,0.055556,0.090909,0.055556,1,0.0,0,0.0,0.0,0.0,0.388889,0,1,@abbvie,0.01377,,,true,false,false,false,false,true,prefiling_lag_3m,,31-33,Manufacturing,31-33,true,false,false
AbbVie,2024-12,2024,12,ABBV,1551152,2024,2025-02-14,0.0,0,26,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.384615,0,1,@abbvie,0.01377,,,true,false,false,false,false,true,prefiling_lag_3m,,31-33,Manufacturing,31-33,true,false,false
AbbVie,2025-01,2025,01,ABBV,1551152,2024,2025-02-14,0.1,1,10,0.1,0.125,0.1,1,0.0,0,0.0,0.0,0.0,0.2,0,1,@abbvie,0.01377,,,true,false,false,false,true,true,prefiling_lag_1m,,31-33,Manufacturing,31-33,true,false,false
AbbVie,2025-02,2025,02,ABBV,1551152,2024,2025-02-14,0.047619,1,21,0.047619,0.0625,0.047619,1,0.0,0,0.0,0.0,0.0,0.238095,0,1,@abbvie,0.01377,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,31-33,Manufacturing,31-33,true,false,false
AbbVie,2025-11,2025,11,ABBV,1551152,2025,2026-02-20,0.1,2,20,0.1,0.222222,,1,0.0,0,0.0,0.0,0.0,0.55,1,1,@abbvie,0.004775,,,true,false,false,false,false,true,prefiling_lag_3m,,31-33,Manufacturing,31-33,true,false,false
AbbVie,2025-12,2025,12,ABBV,1551152,2025,2026-02-20,0.0,0,9,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,0.555556,1,1,@abbvie,0.004775,,,true,false,false,false,false,true,prefiling_lag_3m,,31-33,Manufacturing,31-33,true,false,false
AbbVie,2026-01,2026,01,ABBV,1551152,2025,2026-02-20,0.0,0,5,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.2,0,1,@abbvie,0.004775,,,true,false,false,false,true,true,prefiling_lag_1m,,31-33,Manufacturing,31-33,true,false,false
AbbVie,2026-02,2026,02,ABBV,1551152,2025,2026-02-20,0.066667,1,15,0.066667,0.071429,0.066667,1,0.0,0,0.0,0.0,0.0,0.066667,0,1,@abbvie,0.004775,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,31-33,Manufacturing,31-33,true,false,false
Albertsons,2023-01,2023,01,ACI,1646972,2023,2023-04-25,1.0,1,1,1.0,1.0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0,1,@albertsons,0.026373,,,true,false,false,false,false,true,prefiling_lag_3m,,44-45,Retail Trade,44-45,true,false,false
Albertsons,2023-02,2023,02,ACI,1646972,2023,2023-04-25,0.0,0,1,0.0,,,0,0.0,0,0.0,0.0,0.0,1.0,1,1,@albertsons,0.026373,,,true,false,false,false,false,true,prefiling_lag_3m,,44-45,Retail Trade,44-45,true,false,false
Albertsons,2023-03,2023,03,ACI,1646972,2023,2023-04-25,0.0,0,3,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.333333,0,1,@albertsons,0.026373,,,true,false,false,false,true,true,prefiling_lag_1m,,44-45,Retail Trade,44-45,true,false,false
Albertsons,2023-04,2023,04,ACI,1646972,2023,2023-04-25,0.0,0,1,0.0,,,0,0.0,0,0.0,0.0,0.0,1.0,1,1,@albertsons,0.026373,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,44-45,Retail Trade,44-45,true,false,false
Allstate,2023-11,2023,11,ALL,899051,2023,2024-02-21,0.055556,1,18,0.055556,0.125,,1,0.0,0,0.0,0.0,0.0,0.555556,1,1,@allstate,-0.021431,,,true,false,false,false,false,true,prefiling_lag_3m,,52,Finance and Insurance,52,true,false,false
Allstate,2023-12,2023,12,ALL,899051,2023,2024-02-21,0.25,5,20,0.25,0.625,,1,0.0,0,0.0,0.0,0.0,0.6,1,1,@allstate,-0.021431,,,true,false,false,false,false,true,prefiling_lag_3m,,52,Finance and Insurance,52,true,false,false
Allstate,2024-01,2024,01,ALL,899051,2023,2024-02-21,0.0,0,8,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,0.875,1,1,@allstate,-0.021431,,,true,false,false,false,true,true,prefiling_lag_1m,,52,Finance and Insurance,52,true,false,false
Allstate,2024-02,2024,02,ALL,899051,2023,2024-02-21,0.25,1,4,0.25,0.333333,0.25,1,0.0,0,0.0,0.0,0.0,0.25,0,1,@allstate,-0.021431,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,52,Finance and Insurance,52,true,false,false
Amazon,2023-11,2023,11,AMZN,1018724,2023,2024-02-02,0.127273,7,55,0.127273,0.318182,,1,0.018182,1,0.018182,0.000330585,0.018182,0.6,1,1,@amazon,0.061967,,,true,false,false,false,false,true,prefiling_lag_3m,,44-45,Retail Trade,44-45,true,false,false
Amazon,2023-12,2023,12,AMZN,1018724,2023,2024-02-02,0.043478,2,46,0.043478,0.090909,,1,0.0,0,0.0,0.0,0.0,0.521739,1,1,@amazon,0.061967,,,true,false,false,false,false,true,prefiling_lag_3m,,44-45,Retail Trade,44-45,true,false,false
Amazon,2024-01,2024,01,AMZN,1018724,2023,2024-02-02,0.138889,5,36,0.138889,0.277778,,1,0.0,0,0.0,0.0,0.0,0.5,1,1,@amazon,0.061967,,,true,false,false,false,true,true,prefiling_lag_1m,,44-45,Retail Trade,44-45,true,false,false
Amazon,2024-02,2024,02,AMZN,1018724,2023,2024-02-02,0.173913,4,23,0.173913,0.307692,0.173913,1,0.0,0,0.0,0.0,0.0,0.434783,0,1,@amazon,0.061967,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,44-45,Retail Trade,44-45,true,false,false
Amazon,2024-11,2024,11,AMZN,1018724,2024,2025-02-07,0.333333,7,21,0.333333,0.5,0.333333,1,0.0,0,0.0,0.0,0.0,0.333333,0,1,@amazon,-0.014258,,,true,false,false,false,false,true,prefiling_lag_3m,,44-45,Retail Trade,44-45,true,false,false
Amazon,2024-12,2024,12,AMZN,1018724,2024,2025-02-07,0.238095,5,21,0.238095,0.3125,0.238095,1,0.0,0,0.0,0.0,0.0,0.238095,0,1,@amazon,-0.014258,,,true,false,false,false,false,true,prefiling_lag_3m,,44-45,Retail Trade,44-45,true,false,false
Amazon,2025-01,2025,01,AMZN,1018724,2024,2025-02-07,0.26087,6,23,0.26087,0.461538,0.26087,1,0.0,0,0.0,0.0,0.0,0.434783,0,1,@amazon,-0.014258,,,true,false,false,false,true,true,prefiling_lag_1m,,44-45,Retail Trade,44-45,true,false,false
Amazon,2025-02,2025,02,AMZN,1018724,2024,2025-02-07,0.157895,3,19,0.157895,0.230769,0.157895,1,0.052632,1,0.052632,0.002770127,0.052632,0.315789,0,1,@amazon,-0.014258,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,44-45,Retail Trade,44-45,true,false,false
Amazon,2025-11,2025,11,AMZN,1018724,2025,2026-02-06,0.114286,4,35,0.114286,0.266667,,1,0.0,0,0.0,0.0,0.0,0.571429,1,1,@amazon,-0.123731,,,true,false,false,false,false,true,prefiling_lag_3m,,44-45,Retail Trade,44-45,true,false,false
Amazon,2025-12,2025,12,AMZN,1018724,2025,2026-02-06,0.188679,10,53,0.188679,0.30303,0.188679,1,0.0,0,0.0,0.0,0.0,0.377358,0,1,@amazon,-0.123731,,,true,false,false,false,false,true,prefiling_lag_3m,,44-45,Retail Trade,44-45,true,false,false
Amazon,2026-01,2026,01,AMZN,1018724,2025,2026-02-06,0.083333,4,48,0.083333,0.190476,,1,0.0,0,0.0,0.0,0.0,0.5625,1,1,@amazon,-0.123731,,,true,false,false,false,true,true,prefiling_lag_1m,,44-45,Retail Trade,44-45,true,false,false
Amazon,2026-02,2026,02,AMZN,1018724,2025,2026-02-06,0.105263,6,57,0.105263,0.193548,0.105263,1,0.0,0,0.0,0.0,0.0,0.45614,0,1,@amazon,-0.123731,,,true,false,false,true,false,false,same_month (caution: simultaneity risk),,44-45,Retail Trade,44-45,true,false,false
