fortune_rank,firm_name,direct_x_profile_url,attempted_at,status,direct_profile_exists,error_type,error_message,page_title,current_url,elapsed_seconds,notes
1,Amazon,https://x.com/amazon,2026-06-10T09:37:07+00:00,not_checked_missing_credentials,unknown,missing_credentials,X_AUTH_TOKEN and/or X_CT0 is not set.,,,0.000,X_AUTH_TOKEN and/or X_CT0 missing; generated direct URL candidates but did not verify profile existence.
2,Walmart,https://x.com/walmart,2026-06-10T09:37:07+00:00,not_checked_missing_credentials,unknown,missing_credentials,X_AUTH_TOKEN and/or X_CT0 is not set.,,,0.000,X_AUTH_TOKEN and/or X_CT0 missing; generated direct URL candidates but did not verify profile existence.
3,UnitedHealth Group,https://x.com/unitedhealthgroup,2026-06-10T09:37:07+00:00,not_checked_missing_credentials,unknown,missing_credentials,X_AUTH_TOKEN and/or X_CT0 is not set.,,,0.000,X_AUTH_TOKEN and/or X_CT0 missing; generated direct URL candidates but did not verify profile existence.
4,Apple,https://x.com/apple,2026-06-10T09:37:07+00:00,not_checked_missing_credentials,unknown,missing_credentials,X_AUTH_TOKEN and/or X_CT0 is not set.,,,0.000,X_AUTH_TOKEN and/or X_CT0 missing; generated direct URL candidates but did not verify profile existence.
5,Alphabet,https://x.com/alphabet,2026-06-10T09:37:07+00:00,not_checked_missing_credentials,unknown,missing_credentials,X_AUTH_TOKEN and/or X_CT0 is not set.,,,0.000,X_AUTH_TOKEN and/or X_CT0 missing; generated direct URL candidates but did not verify profile existence.
6,CVS Health,https://x.com/cvshealth,2026-06-10T09:37:07+00:00,not_checked_missing_credentials,unknown,missing_credentials,X_AUTH_TOKEN and/or X_CT0 is not set.,,,0.000,X_AUTH_TOKEN and/or X_CT0 missing; generated direct URL candidates but did not verify profile existence.
7,Berkshire Hathaway,https://x.com/berkshirehathaway,2026-06-10T09:37:07+00:00,not_checked_missing_credentials,unknown,missing_credentials,X_AUTH_TOKEN and/or X_CT0 is not set.,,,0.000,X_AUTH_TOKEN and/or X_CT0 missing; generated direct URL candidates but did not verify profile existence.
8,McKesson,https://x.com/mckesson,2026-06-10T09:37:07+00:00,not_checked_missing_credentials,unknown,missing_credentials,X_AUTH_TOKEN and/or X_CT0 is not set.,,,0.000,X_AUTH_TOKEN and/or X_CT0 missing; generated direct URL candidates but did not verify profile existence.
9,Exxon Mobil,https://x.com/exxonmobil,2026-06-10T09:37:07+00:00,not_checked_missing_credentials,unknown,missing_credentials,X_AUTH_TOKEN and/or X_CT0 is not set.,,,0.000,X_AUTH_TOKEN and/or X_CT0 missing; generated direct URL candidates but did not verify profile existence.
10,Cencora,https://x.com/cencora,2026-06-10T09:37:07+00:00,not_checked_missing_credentials,unknown,missing_credentials,X_AUTH_TOKEN and/or X_CT0 is not set.,,,0.000,X_AUTH_TOKEN and/or X_CT0 missing; generated direct URL candidates but did not verify profile existence.
