sample_bucket,global_post_id,tweet_id,sample_group,company_name,created_at,text,humor_presence,confidence_score,rule_label,ml_label,ml_probability_humor,ml_probability_non_humor,decision_source,needs_manual_review,manual_review_reason,matched_humor_cues,matched_non_humor_cues
high_confidence_non_humor,fortune_top100_ranked::1948369617983816162,1948369617983816162,fortune_top100_ranked,Cisco Systems,,"#AI is reshaping the workplace. But workers aren’t yet using it on the job, and readiness among global organizations remains low. Learn how businesses can prepare their workforce and leverage AI's full potential in Cisco's AI Readiness Index: https://t.co/aMIW0vkr1a https://t.co/89DJ2swv9E",non_humor,0.681742,non_humor,ambiguous,0.681742,0.31825800000000004,rule,false,,,url_or_notice_dominant
high_confidence_non_humor,fortune_top100_ranked::1817948123370508387,1817948123370508387,fortune_top100_ranked,American Express,,"Congratulations to the 2024 recipients of the “Backing Historic Small Restaurants” grant program in partnership with @SavingPlaces. 50 small restaurants in the U.S. will receive a $50,000 grant to help them upgrade, renovate and grow their businesses. Read more: https://t.co/xVsLsTlQRI",non_humor,0.679736,non_humor,ambiguous,0.679736,0.320264,rule,false,,,url_or_notice_dominant
high_confidence_non_humor,fortune_top100_ranked::1589618738449551360,1589618738449551360,fortune_top100_ranked,CVS Health,,Some people have embraced virtual health care. Others aren’t yet on board. Learn how health care can meet the “omnichannel” future and reach every patient in the fall 2022 #CVSHealthTrends report. https://t.co/nrk9LYiUtv https://t.co/Vtg7LvjTRQ,non_humor,0.664183,non_humor,ambiguous,0.664183,0.33581700000000003,rule,false,,,url_or_notice_dominant
high_confidence_non_humor,fortune_top100_ranked::1447623037138845697,1447623037138845697,fortune_top100_ranked,Phillips 66,,"We only broom, broom in October. Download the stencil of this design to carve your own pumpkin. https://t.co/K4Gau4YByt https://t.co/DYKLTjo4jx",non_humor,0.649978,non_humor,ambiguous,0.649978,0.35002200000000006,rule,false,,,url_or_notice_dominant
high_confidence_non_humor,fortune_top100_ranked::1699433172314751278,1699433172314751278,fortune_top100_ranked,Bank of America,,"Every day we're entering further into the digital age and small businesses are taking note. Compared to 2022, more entrepreneurs are digitally optimizing their businesses. Learn more from our 2023 Small Business Owner Report: https://t.co/Sg5acA7Z6A https://t.co/4wRMGPIXhS",non_humor,0.647947,non_humor,ambiguous,0.647947,0.35205299999999995,rule,false,,,url_or_notice_dominant
high_confidence_non_humor,benchmark_self_defeating_moonpie::979500136438075392,979500136438075392,benchmark_self_defeating_moonpie,MoonPie,,It is bracket time !! https://t.co/uMI53IWLaV,non_humor,0.636146,non_humor,ambiguous,0.363854,0.636146,rule,false,,,url_or_notice_dominant
high_confidence_non_humor,fortune_top100_ranked::1362739207635161093,1362739207635161093,fortune_top100_ranked,Merck,,Pediatricians are being extra careful to keep families safe during office visits. Make an appointment today for your children’s immunizations. #CallYourPediatrician https://t.co/qE5IUGtP7d,non_humor,0.636139,non_humor,ambiguous,0.636139,0.363861,rule,false,,,url_or_notice_dominant
rule_ml_conflict,fortune_top100_ranked::1781375513816371686,1781375513816371686,fortune_top100_ranked,ConocoPhillips,,"Construction on Surmont began in 1997 with a small SAGD pilot. In 2014, the Surmont team began the design of Pad 267, and in 2023 #ConocoPhillips reached a milestone with first oil at this well pad. Learn more: https://t.co/h3clRroaYO https://t.co/hl768fuUr6",ambiguous,0.764787,non_humor,humor,0.764787,0.235213,rule_ml_conflict,true,rule_ml_conflict,,url_or_notice_dominant
rule_ml_conflict,fortune_top100_ranked::2041960984009474312,2041960984009474312,fortune_top100_ranked,Marathon Petroleum,,"👥 Our team had the opportunity to connect with the workforce of tomorrow at the Junior Achievement of North Central Ohio Inspire event in Canton, Ohio. 🎓 More than 3,700 area sophomores attended the career fair, exploring future career paths and engaging with over 100 local employers. 🔗 Learn more: https://t.co/xmtZI28QDl #JuniorAchievement #WorkforceDevelopment #MPCgives #MarathonPetroleum #CantonOhio",ambiguous,0.727729,non_humor,humor,0.727729,0.27227100000000004,rule_ml_conflict,true,rule_ml_conflict,,url_or_notice_dominant
rule_ml_conflict,fortune_top100_ranked::1261263121785802753,1261263121785802753,fortune_top100_ranked,Massachusetts Mutual Life,,MassMutual’s Roger Crandall was recognized as the #1 CEO in the finance sector by @GroupSJR for his leadership and visibility during the COVID-19 pandemic. View the full CEO leaderboard at https://t.co/2ORcajpldh.,ambiguous,0.703905,non_humor,humor,0.703905,0.296095,rule_ml_conflict,true,rule_ml_conflict,,url_or_notice_dominant
rule_ml_conflict,fortune_top100_ranked::1696549495490691342,1696549495490691342,fortune_top100_ranked,MetLife,,"This Oct. 11 -12 at the #TTX2023 conference, come explore emerging opportunities, identify new in-demand skills, and call for #STEM industry accountability to empower women to be at the forefront of this new AI era. Register now: https://t.co/goAoIiXmL1 https://t.co/n9tpnjvs3j",ambiguous,0.725288,non_humor,humor,0.725288,0.27471199999999996,rule_ml_conflict,true,rule_ml_conflict,,url_or_notice_dominant
rule_ml_conflict,fortune_top100_ranked::1970835657892188452,1970835657892188452,fortune_top100_ranked,Pfizer,,"Today is #WorldCancerResearchDay 🔬 — a day to celebrate the power of collaboration in cancer research. Breakthroughs in cancer wouldn’t be possible without the incredible efforts of patients, researchers, organizations, and communities around the world. We share a global commitment: “Cancer research needs us all.” Because when we work together, we move faster toward progress. At Pfizer, we’re working to help people with cancer live better and longer lives. Our goal is to deliver eight cancer breakthroughs by 2030, bringing new hope and better outcomes to patients everywhere. Learn more about how we’re working to outdo cancer: https://t.co/rTk4FKfFBU @AmericanCancer @LUNGevity Blue Hat Foundation @YoungSurvival @ZEROCancer",ambiguous,0.705450,non_humor,humor,0.705450,0.29455,rule_ml_conflict,true,rule_ml_conflict,,url_or_notice_dominant
rule_ml_conflict,fortune_top100_ranked::1870204746365317606,1870204746365317606,fortune_top100_ranked,HCA Healthcare,,"We’re proud to announce that the HCA Healthcare Foundation, through its Healthier Tomorrow Fund, gave $375,000 in grants to nonprofits focused on promoting nutrition security. Discover how we're championing health in HCA Healthcare communities nationwide: https://t.co/S2iZ1WlNBf. https://t.co/zaBxHxCZ75",ambiguous,0.730041,non_humor,humor,0.730041,0.26995899999999995,rule_ml_conflict,true,rule_ml_conflict,,url_or_notice_dominant
short_text_ambiguous,fortune_top100_ranked::2063750288326930442,2063750288326930442,fortune_top100_ranked,Tesla,,"Absolute SAVAGERY by mad max on V14.3.3 😂 We’re driving along the highway, and encounter traffic. We are supposed to be on the roadway I’m pointing at with an arrow a few seconds into the video. FSD knows from mapping that the Rt 1 exit allows an opportunity to re-connect with I-76 before it branches off into an exit lane, and to avoid a section of traffic, FSD decides to yeet the exit, blow by about 1/2 mile of the backup before muscling its way back onto 76. I had to mute the video because I was laughing like a psycho the entire time. So good. Mad max will get you where you’re goin man",ambiguous,0.833668,ambiguous,humor,0.833668,0.16633200000000004,rule,true,rule_ambiguous,,
ml_ambiguous,fortune_top100_ranked::1055165574521782277,1055165574521782277,fortune_top100_ranked,Liberty Mutual Insurance Group,,RT @sweetmatcha: @dawnchats @LibertyMutual A4 I’d like some constructive driving criticism because sometimes I don’t realize I’m at fault #…,ambiguous,0.524800,,ambiguous,0.475200,0.5247999999999999,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_self_defeating_moonpie::1336086819952357382,1336086819952357382,benchmark_self_defeating_moonpie,MoonPie,,Buy this for someone you love or even someone you don’t https://t.co/oRTkvXOs9y,ambiguous,0.555286,,ambiguous,0.444714,0.555286,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_aggressive_wendys::2042359791239024659,2042359791239024659,benchmark_aggressive_wendys,Wendy's,,She a baddie with her baddie friend (I'm the baddie friend),ambiguous,0.508997,,ambiguous,0.491003,0.5089969999999999,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_self_defeating_moonpie::1243321079680155648,1243321079680155648,benchmark_self_defeating_moonpie,MoonPie,,I will be going outside tonight to blow the moon a kiss but that’s it,ambiguous,0.594778,,ambiguous,0.405222,0.594778,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::1365364040298614790,1365364040298614790,fortune_top100_ranked,Allstate,,"Dallas area: 300 S Village Center Dr., Southlake, TX 7100 North Freeway, Fr. Worth, TX Houston area: 18251 Gulf Freeway, Webster,TX 10707 North Freeway, Houston, TX",ambiguous,0.561540,,ambiguous,0.438460,0.5615399999999999,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::1988614940073087332,1988614940073087332,fortune_top100_ranked,Uber Technologies,,RT @andrewgordonmac: Great chat with @CraigTrudell from @Bloomberg at @WebSummit on the road to robotaxis (at scale) Uber is partnering wi…,ambiguous,0.652989,,ambiguous,0.652989,0.34701099999999996,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_self_defeating_moonpie::2040063993188929837,2040063993188929837,benchmark_self_defeating_moonpie,MoonPie,,"That's us! 🌍 The Artemis II crew captured beautiful, high-resolution images of our home planet during their journey to the Moon. As @Astro_Christina put it: ""You guys look great."" https://t.co/CkjDKGocip",ambiguous,0.621194,,ambiguous,0.378806,0.621194,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::861574809477623809,861574809477623809,fortune_top100_ranked,Home Depot,,@premdasingale Are you in need of assistance? Please send details/contact info/tweet to TeamSocial@homedepot.com for help.,ambiguous,0.571779,,ambiguous,0.571779,0.42822099999999996,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_aggressive_wendys::1976057070555132086,1976057070555132086,benchmark_aggressive_wendys,Wendy's,,Canceling my hair appointment at angie’s 1.5 salons,ambiguous,0.547137,,ambiguous,0.547137,0.452863,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::1484664737426075650,1484664737426075650,fortune_top100_ranked,Sysco,,Sysco Market Corner is your go to source for today’s commodity market. Click here to see this week's highlights. https://t.co/NZ37o1xgzy https://t.co/jx0EwqqJq8,ambiguous,0.541221,,ambiguous,0.541221,0.45877900000000005,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::1674793572233789441,1674793572233789441,fortune_top100_ranked,JPMorgan Chase,,"Now that summer is underway, the 24th annual J.P. Morgan Summer Reading List is here. ☀️📖 Have you picked out your summer read?",ambiguous,0.500211,,ambiguous,0.499789,0.500211,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_aggressive_wendys::1769882785836371981,1769882785836371981,benchmark_aggressive_wendys,Wendy's,,@tuasleftnut @MarchMadnessMBB @CBSSportsCBB @SickosCBB @SickosCommittee In that case https://t.co/OolCKBv0XX,ambiguous,0.502932,,ambiguous,0.497068,0.5029319999999999,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::1511022208222744586,1511022208222744586,fortune_top100_ranked,Coca-Cola,,What do you think 𝕡𝕚𝕩𝕖𝕝𝕤 taste like? Reply with your most creative guesses. https://t.co/MJDZE4VHNm,ambiguous,0.552009,,ambiguous,0.552009,0.44799100000000003,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::1295402269748461568,1295402269748461568,fortune_top100_ranked,Eli Lilly,,"Thank you, @_GlobalWIN! We look forward to participating in future discussions.",ambiguous,0.578784,,ambiguous,0.421216,0.578784,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_aggressive_wendys::2029249180762341501,2029249180762341501,benchmark_aggressive_wendys,Wendy's,,Wendy’s US President posts new video amid burger battle with McDonald’s &amp; Burger King. https://t.co/R6IALUetCC,ambiguous,0.617310,,ambiguous,0.617310,0.38269,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::1578845242144395264,1578845242144395264,fortune_top100_ranked,Capital One Financial,,Are you at @TwitchCon? 👾 Cardholders enjoy exclusive perks all weekend long - like cutting the Loot Cave line. 😎 https://t.co/MLueY7IbQT,ambiguous,0.507196,,ambiguous,0.507196,0.492804,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_self_defeating_moonpie::890555238003986432,890555238003986432,benchmark_self_defeating_moonpie,MoonPie,,Relevant: Half of the MoonPies we make literally come from the moon. https://t.co/cUETdW7IX3,ambiguous,0.567966,,ambiguous,0.567966,0.43203400000000003,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_self_defeating_moonpie::956196032718753792,956196032718753792,benchmark_self_defeating_moonpie,MoonPie,,.@Wendys I think you are very pretty,ambiguous,0.620366,,ambiguous,0.379634,0.620366,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::1884798791854747869,1884798791854747869,fortune_top100_ranked,American Airlines Group,,"We’re aware of reports that American Eagle flight 5342, operated by PSA, with service from Wichita, Kansas (ICT) to Washington Reagan National Airport (DCA) has been involved in an incident. We will provide information as it becomes available.",ambiguous,0.535621,,ambiguous,0.535621,0.464379,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::1430953409214140424,1430953409214140424,fortune_top100_ranked,Caterpillar,,Get sustainable power at a lower cost — find the latest information on our solar solutions at https://t.co/OXdAX6HY4B. #SustainablePower #CatMicrogrid #RenewableEnergy https://t.co/kJ5hUk47BT,ambiguous,0.622770,,ambiguous,0.622770,0.37722999999999995,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_aggressive_wendys::1293571318068240384,1293571318068240384,benchmark_aggressive_wendys,Wendy's,,"We officially have our own podcast. Click the link and check out our first ep. 44,444 of you are definitely not going to want to miss out on this. https://t.co/Ge8PPdNSzX",ambiguous,0.651790,,ambiguous,0.651790,0.34821,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::2014871761137922144,2014871761137922144,fortune_top100_ranked,State Farm Insurance,,Amazing things happen when good neighbors come together 💪,ambiguous,0.505464,,ambiguous,0.494536,0.505464,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::1571857912510976000,1571857912510976000,fortune_top100_ranked,Valero Energy,,RT @SMO_Valero: Celebrating #NationalCleanUpDay with our @ValeroEnergy Houston &amp; Texas City volunteers at the @GBayFoundation Adopt A Beach…,ambiguous,0.602387,,ambiguous,0.602387,0.397613,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_self_defeating_moonpie::1003022880588926978,1003022880588926978,benchmark_self_defeating_moonpie,MoonPie,,In the MoonPie cinematic universe all the people from the moon are like really hot,ambiguous,0.578276,,ambiguous,0.578276,0.421724,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::2027408590902841414,2027408590902841414,fortune_top100_ranked,Lockheed Martin,,"President Trump gave the world the Artemis Program, and NASA and our partners have the plan to deliver. We will standardize architecture where possible, add missions and accelerate flight rate, execute in an evolutionary way, and safely return American astronauts to the Moon, this time to stay. This is the NASA that once changed the world. This is the NASA that will do it again.",ambiguous,0.614575,,ambiguous,0.614575,0.385425,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::2054321960411119715,2054321960411119715,fortune_top100_ranked,Energy Transfer,,"UC Berkeley published a study outlining how natural gas from shale is saving American consumers on the order of $200 billion each year, a cumulative total of $5 trillion or more since 2007. https://t.co/Mfmo6mWiIQ",ambiguous,0.665341,,ambiguous,0.665341,0.33465900000000004,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_aggressive_wendys::1797664751524384826,1797664751524384826,benchmark_aggressive_wendys,Wendy's,,WE HAVE SAUCY NUGGS IN OUR APP NOW SEND TWEET https://t.co/cnnCnVJlsa,ambiguous,0.569837,,ambiguous,0.569837,0.43016299999999996,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_aggressive_wendys::1234275836905369603,1234275836905369603,benchmark_aggressive_wendys,Wendy's,,Y’all got any plans for breakfast tomorrow orrrrrrrrr…..?,ambiguous,0.512404,,ambiguous,0.487596,0.5124040000000001,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,benchmark_self_defeating_moonpie::1361458072963678209,1361458072963678209,benchmark_self_defeating_moonpie,MoonPie,,You really think we have a whole team for this,ambiguous,0.530543,,ambiguous,0.469457,0.530543,ml,true,ml_probability_between_thresholds,,
ml_ambiguous,fortune_top100_ranked::963853933402820608,963853933402820608,fortune_top100_ranked,Galaxy Digital,,If you love #iServe you must love the folks behind it all @GalaxyDigital #campusconnect #NCPACE18 @wvucsl https://t.co/mJ2r0VTRN5,ambiguous,0.528703,,ambiguous,0.471297,0.5287029999999999,ml,true,ml_probability_between_thresholds,,
low_confidence,fortune_top100_ranked::2034321552443892080,2034321552443892080,fortune_top100_ranked,UnitedHealth Group,,"RT @BeckersHR: Listen Here: https://t.co/M9wLZZ3Tom In this episode, Rhonda L. Randall, D.O., Chief Medical Officer for UnitedHealthcare’s…",ambiguous,0.506861,,ambiguous,0.493139,0.506861,ml,true,ml_probability_between_thresholds,,
low_confidence,fortune_top100_ranked::1313150779453251587,1313150779453251587,fortune_top100_ranked,Target,,Shoutout your favorite teacher below. #WorldTeacherDay,ambiguous,0.512871,,ambiguous,0.487129,0.5128710000000001,ml,true,ml_probability_between_thresholds,,
low_confidence,benchmark_self_defeating_moonpie::926548335372185611,926548335372185611,benchmark_self_defeating_moonpie,MoonPie,,One time we thought our account was taken down by a rogue twitter employee but it turned out we were entering the wrong password for 3 days,ambiguous,0.514256,,ambiguous,0.485744,0.514256,ml,true,ml_probability_between_thresholds,,
low_confidence,fortune_top100_ranked::1581990913080901632,1581990913080901632,fortune_top100_ranked,Procter & Gamble,,"Perfection can be counter-productive, she says. “Employees want someone they can relate to... they want to know ‘This is someone who can understand me and what I’m going through and actually can help develop me into a better leader’,” she said.",ambiguous,0.519166,,ambiguous,0.519166,0.480834,ml,true,ml_probability_between_thresholds,,
low_confidence,benchmark_aggressive_wendys::1371833939149664261,1371833939149664261,benchmark_aggressive_wendys,Wendy's,,"Starting your day with a W, just like our name.",ambiguous,0.521603,,ambiguous,0.521603,0.47839699999999996,ml,true,ml_probability_between_thresholds,,
low_confidence,benchmark_self_defeating_moonpie::960301895461036038,960301895461036038,benchmark_self_defeating_moonpie,MoonPie,,"Here's another MoonPie commercial called ""The Dirty Truck"" #TheBigThing https://t.co/TecY6e62V8",ambiguous,0.523820,,ambiguous,0.476180,0.52382,ml,true,ml_probability_between_thresholds,,
low_confidence,fortune_top100_ranked::1679449845122179073,1679449845122179073,fortune_top100_ranked,PepsiCo,,Both our North America and International businesses had a solid Q2 2023 #PEPearnings https://t.co/z7M46tCl0C https://t.co/HNhY3b83kw,non_humor,0.527616,non_humor,ambiguous,0.527616,0.472384,rule,false,,,url_or_notice_dominant
low_confidence,fortune_top100_ranked::1233108337509752832,1233108337509752832,fortune_top100_ranked,Prudential Financial,,RT @kalamarides: Toward a #NewCapitalism starts with @AspenInstitute’s @idarademacher giving opening comments as we discuss investing in in…,ambiguous,0.534354,,ambiguous,0.534354,0.465646,ml,true,ml_probability_between_thresholds,,
low_confidence,fortune_top100_ranked::1780284843147800924,1780284843147800924,fortune_top100_ranked,Kroger,,@slyfield_john Hi John! We’re very sorry to hear about our carts left at the bus stop. Thank you for bringing this to our attention. Please send us a private message and provide your phone number and email address. Will make sure to share this to our Store Management Team. Have a great day!,ambiguous,0.542406,,ambiguous,0.542406,0.45759399999999995,ml,true,ml_probability_between_thresholds,,
low_confidence,benchmark_self_defeating_moonpie::1085318520840380416,1085318520840380416,benchmark_self_defeating_moonpie,MoonPie,,'Super blood wolf moon' is coming: What to know about the rare lunar eclipse https://t.co/17SwOjyzTv,ambiguous,0.546891,,ambiguous,0.546891,0.453109,ml,true,ml_probability_between_thresholds,,
low_confidence,fortune_top100_ranked::1962962874911043985,1962962874911043985,fortune_top100_ranked,Nike,,Carlos Alcaraz knows one point can turn everything around. https://t.co/3E9g05AH0T,ambiguous,0.551886,,ambiguous,0.448114,0.551886,ml,true,ml_probability_between_thresholds,,
low_confidence,fortune_top100_ranked::1871979220915638337,1871979220915638337,fortune_top100_ranked,AT&T,,Christmas miracle: finding a charger and an outlet at Grandma’s house. #HappyHolidays,ambiguous,0.554127,,ambiguous,0.554127,0.44587299999999996,ml,true,ml_probability_between_thresholds,,
low_confidence,benchmark_self_defeating_moonpie::1057681994451169280,1057681994451169280,benchmark_self_defeating_moonpie,MoonPie,,"I heard lots of teens are planning to dress up as MoonPies tonight and while that might be very ""cool"" it's also very ""illegal"" we're talking about our intellectual property here pal",ambiguous,0.555595,,ambiguous,0.555595,0.44440500000000005,ml,true,ml_probability_between_thresholds,,
low_confidence,benchmark_self_defeating_moonpie::970851181944823808,970851181944823808,benchmark_self_defeating_moonpie,MoonPie,,"Thinking about starting a new marketing campaign called "" Please Eat MoonPies Please "" I think it would do very well in Canada",ambiguous,0.557569,,ambiguous,0.442431,0.557569,ml,true,ml_probability_between_thresholds,,
low_confidence,benchmark_self_defeating_moonpie::1334599727401332738,1334599727401332738,benchmark_self_defeating_moonpie,MoonPie,,Can someone check on @MoonPie? It's been three days.,ambiguous,0.558476,,ambiguous,0.558476,0.441524,ml,true,ml_probability_between_thresholds,,
low_confidence,benchmark_self_defeating_moonpie::931193775342448642,931193775342448642,benchmark_self_defeating_moonpie,MoonPie,,Informed opinions are like MoonPies they’re great to have,ambiguous,0.565647,,ambiguous,0.434353,0.565647,ml,true,ml_probability_between_thresholds,,
low_confidence,fortune_top100_ranked::1818357312148717748,1818357312148717748,fortune_top100_ranked,Progressive,,"RT @discoverboating: Master boat trailering like a pro! 💪 Learn our top trailering safety tips in this video, in partnership with @progress…",non_humor,0.566512,non_humor,ambiguous,0.566512,0.433488,rule,false,,,safety
low_confidence,fortune_top100_ranked::1724416344781651973,1724416344781651973,fortune_top100_ranked,Exxon Mobil,,Let’s Get It Started! 🔈 Exciting news out of Guyana. Check out how the start-up of our third offshore project is helping meet global energy needs. https://t.co/INo5L7JWR2 https://t.co/oN8hGh1ID8,ambiguous,0.568880,,ambiguous,0.568880,0.43111999999999995,ml,true,ml_probability_between_thresholds,,
low_confidence,benchmark_self_defeating_moonpie::943261825059061761,943261825059061761,benchmark_self_defeating_moonpie,MoonPie,,BREAKING: Social Media Managers To Spend Christmas Day Alone In Family’s Spare Bedroom Monitoring Brands’ Social Channels https://t.co/8pVVsfZtFk,ambiguous,0.574003,,ambiguous,0.425997,0.574003,ml,true,ml_probability_between_thresholds,,
low_confidence,fortune_top100_ranked::1007419690124115968,1007419690124115968,fortune_top100_ranked,Albertsons,,"Is your dad a “Cool” Dad, an Outdoorsy Dad, a Coach Dad, a Fix-It Dad or maybe a Master Chef Dad? 🤔 Read more here: https://t.co/8cg7HVm1EF https://t.co/7oXwxihevu",non_humor,0.575589,non_humor,ambiguous,0.424411,0.575589,rule,false,,,url_or_notice_dominant
