model,variable,coefficient,classical_ols_se,t_stat,p_value_two_sided,stars,n_obs,r_squared,r_squared_adj,df_resid,n_firms,fixed_effects,classifier_limitation
M1_simple_ols,intercept,3.523924,0.030037,117.3199,0.000000,***,3769,0.112825,0.112354,3766,99,none,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); aggressive intensity = fraction of firm-month posts predicted as aggressive; NOT_A_CANDIDATE level evidence; leakage risk"
M1_simple_ols,aggressive_intensity,10.220228,0.554251,18.4397,0.000000,***,3769,0.112825,0.112354,3766,99,none,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); aggressive intensity = fraction of firm-month posts predicted as aggressive; NOT_A_CANDIDATE level evidence; leakage risk"
M1_simple_ols,aggressive_intensity_sq,-8.428199,0.889309,-9.4772,0.000000,***,3769,0.112825,0.112354,3766,99,none,"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); aggressive intensity = fraction of firm-month posts predicted as aggressive; NOT_A_CANDIDATE level evidence; leakage risk"
M2_firm_dummies,aggressive_intensity,-0.667305,0.321173,-2.0777,0.037806,**,3769,0.805432,0.800128,3668,99,"firm_dummies(99 all, no reference, no intercept)","domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); aggressive intensity = fraction of firm-month posts predicted as aggressive; NOT_A_CANDIDATE level evidence; leakage risk"
M2_firm_dummies,aggressive_intensity_sq,1.404640,0.459643,3.0559,0.002260,***,3769,0.805432,0.800128,3668,99,"firm_dummies(99 all, no reference, no intercept)","domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); aggressive intensity = fraction of firm-month posts predicted as aggressive; NOT_A_CANDIDATE level evidence; leakage risk"
M3_time_fe_year_month,intercept,7.471155,1.652102,4.5222,0.000006,***,3769,0.153407,0.147525,3742,99,year_dummies(13 ref=2009) + month_dummies(11 ref=01),"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); aggressive intensity = fraction of firm-month posts predicted as aggressive; NOT_A_CANDIDATE level evidence; leakage risk"
M3_time_fe_year_month,aggressive_intensity,10.579983,0.550389,19.2227,0.000000,***,3769,0.153407,0.147525,3742,99,year_dummies(13 ref=2009) + month_dummies(11 ref=01),"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); aggressive intensity = fraction of firm-month posts predicted as aggressive; NOT_A_CANDIDATE level evidence; leakage risk"
M3_time_fe_year_month,aggressive_intensity_sq,-8.827960,0.877271,-10.0630,0.000000,***,3769,0.153407,0.147525,3742,99,year_dummies(13 ref=2009) + month_dummies(11 ref=01),"domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); aggressive intensity = fraction of firm-month posts predicted as aggressive; NOT_A_CANDIDATE level evidence; leakage risk"
M4_firm_year_month_fe,aggressive_intensity,-0.307975,0.310308,-0.9925,0.321029,,3769,0.824193,0.818211,3644,99,"firm_dummies(99 all, no reference, no intercept) + year_dummies(13 ref=2009) + month_dummies(11 ref=01)","domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); aggressive intensity = fraction of firm-month posts predicted as aggressive; NOT_A_CANDIDATE level evidence; leakage risk"
M4_firm_year_month_fe,aggressive_intensity_sq,0.871023,0.443010,1.9661,0.049358,**,3769,0.824193,0.818211,3644,99,"firm_dummies(99 all, no reference, no intercept) + year_dummies(13 ref=2009) + month_dummies(11 ref=01)","domain-adapted TF-IDF LogReg trained on 1,980 Fortune100 human labels (batch1+batch2); aggressive intensity = fraction of firm-month posts predicted as aggressive; NOT_A_CANDIDATE level evidence; leakage risk"
