candidate_id,sampling_stratum,fortune_rank,company_name,source_x_handle,tweet_id,tweet_url,created_at,text,total_engagement,log_total_engagement,wendys_transfer_humor_presence,wendys_transfer_humor_score,wendys_transfer_humor_type,wendys_transfer_type_score,full_chain_humor_presence,full_chain_humor_type,classifier_disagreement_flag,uncertainty_score
C00001,low_engagement_posts,89,Enterprise Products Partners,@EProd_Careers,1683501294936547329,https://x.com/EProd_Careers/status/1683501294936547329,Mon Jul 24 15:36:01 +0000 2023,"Enterprise Products is the name to know in energy…and we want to know more about what would make you a great Specialist, Lead Systems. Apply today! https://t.co/G3efLVwvgo",0,0.0,1,0.589623,affiliative,0.335632,non_humor,not_applicable,1,0.820754
C00002,random_fortune_sample,2,Walmart,@walmart,1943342199376072745,https://x.com/walmart/status/1943342199376072745,Thu Jul 10 16:11:00 +0000 2025,you'll like the way you frolic i guarantee it https://t.co/DM4YpxS6bx,105,4.663439094112,1,0.628841,aggressive,0.363760,ambiguous,ambiguous_or_review,0,0.742318
C00003,random_fortune_sample,48,UPS,@ups,2046941398427951253,https://x.com/ups/status/2046941398427951253,Wed Apr 22 13:17:14 +0000 2026,RT @UPS_News: UPS expands Happy Returns network to capture more of the $706 billion U.S. returns market and boost higher-margin logistics s…,4,1.609437912434,0,0.395476,non_humorous,0.000000,humor,affiliative,1,0.790952
C00004,classifier_disagreement,81,United Airlines Holdings,@united,1782818909734813760,https://x.com/united/status/1782818909734813760,Tue Apr 23 17:08:45 +0000 2024,"That friend who decided now she's ""boho desert."" 
Not pictured: the big hat https://t.co/tGH3nmcpUm",783,6.66440902035,1,0.505706,aggressive,0.332815,non_humor,not_applicable,1,0.988588
C00005,wendys_transfer_aggressive,18,Elevance Health,@elevancehealth,1560235442615771136,https://x.com/elevancehealth/status/1560235442615771136,Thu Aug 18 12:01:31 +0000 2022,"Our health is impacted not only by physical and behavioral drivers, but by social factors as well. We call these the social drivers of health rather than social “determinants.” Find out why: 

#SDOH #WholeHealth

https://t.co/CWGD4Z45BS https://t.co/eoFgVkhqih",6,1.945910149055,1,0.516828,aggressive,0.301009,non_humor,not_applicable,1,0.966344
C00006,wendys_transfer_aggressive,92,Uber Technologies,@Uber,1772317644298821840,https://x.com/Uber/status/1772317644298821840,Mon Mar 25 17:40:29 +0000 2024,In a strange turn of events i think my uber driver wants ME to stop talking. 😤,2056,7.629003889653,1,0.666689,aggressive,0.294823,ambiguous,ambiguous_or_review,0,0.666622
C00007,humor_presence_uncertain,96,Travelers,@travelers,1645422942480728070,https://x.com/travelers/status/1645422942480728070,Mon Apr 10 13:46:14 +0000 2023,The @Travelers 2023 Risk Index on Distracted Driving says that 70% of survey participants believe distracted driving is a bigger issue now compared to only a few years ago. https://t.co/zXuAJliXL9 #autoinsurance #distracteddriving #insurtech,6,1.945910149055,0,0.447794,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.895588
C00008,humor_presence_uncertain,14,Cigna Group,@Cigna,1460346272334991365,https://x.com/Cigna/status/1460346272334991365,Mon Nov 15 20:37:37 +0000 2021,"For the fifth straight year, Cigna has been recognized as a global industry leader in corporate sustainability by Dow Jones. Learn more about how we’re bringing our mission to life with Cigna Connects. https://t.co/ZHUIOcr3Tl

#CignaNews https://t.co/TETTEFb8I6",2,1.098612288668,0,0.456578,non_humorous,0.000000,non_humor,not_applicable,0,0.913156
C00009,firm_balanced_sample,68,Merck,@merck,1370119419280646144,https://x.com/merck/status/1370119419280646144,Thu Mar 11 21:08:19 +0000 2021,RT @JNJNews: #JNJ is honored to collaborate with @Merck and the Biden Administration to ramp up production and manufacturing of the Johnson…,40,3.713572066704,0,0.415091,non_humorous,0.000000,humor,affiliative,1,0.830182
C00010,random_fortune_sample,66,IBM,@ibm,2046349314394353859,https://x.com/ibm/status/2046349314394353859,Mon Apr 20 22:04:30 +0000 2026,"DYK @IBM won the 2026 Adobe Customer Experience Orchestration AI Technology Partner of the Year award and @ibmconsulting Western Europe was named the 2026 Adobe CXO Partner of the Year. https://t.co/UAHmWGGXVq

Attending #AdobeSummit? Congratulate the team. See you there. https://t.co/l9tvP2DU80",29,3.401197381662,0,0.408303,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.816606
C00011,random_fortune_sample,19,Centene,@centene,1633217475344224256,https://x.com/centene/status/1633217475344224256,Tue Mar 07 21:26:04 +0000 2023,Centene addresses key risk factors of heart disease and empowers members to develop healthy lifestyle habits to help prevent heart disease. Learn more. https://t.co/HzpGckffdl #HeartMonth https://t.co/MKpTvyGSx3,4,1.609437912434,0,0.320176,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.640352
C00012,firm_balanced_sample,95,Liberty Mutual Insurance Group,@LibertyMutual,1111742329948438528,https://x.com/LibertyMutual/status/1111742329948438528,Fri Mar 29 21:30:01 +0000 2019,"Meet the biggest thing to hit insurance since collision coverage: LiMu Emu and Doug. Saving people from overpaying for insurance, one customized policy at a time. https://t.co/uAGS85e7d9",29,3.401197381662,1,0.575243,self-enhancing,0.293374,ambiguous,ambiguous_or_review,0,0.849514
C00013,wendys_transfer_aggressive,31,StoneX Group,@StoneX_Official,2028766583124820123,https://x.com/StoneX_Official/status/2028766583124820123,Tue Mar 03 09:37:00 +0000 2026,European indices drop 2-3% as traders price out rate cuts. Inflation concerns revived amid surge in energy prices.,1,0.69314718056,1,0.640952,aggressive,0.372398,non_humor,not_applicable,1,0.718096
C00014,firm_balanced_sample,73,Pfizer,@pfizer,1570425434352787458,https://x.com/pfizer/status/1570425434352787458,Thu Sep 15 14:52:55 +0000 2022,RT @femalequotient: The Hispanic community faces disproportionate health issues with the highest uninsured rate of any ethnic group in the…,3,1.38629436112,0,0.398237,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.796474
C00015,random_fortune_sample,23,General Motors,@GM,1534194238648369152,https://x.com/GM/status/1534194238648369152,Tue Jun 07 15:23:05 +0000 2022,"Let's keep truckin' along with another set of EV clues. Do you know which one it is?

I'm a household name.

I'm designed with towing in mind.

My multi-flex tailgate has six different functions.

You know where to cast your vote. 👇",38,3.66356164613,1,0.667530,aggressive,0.330739,ambiguous,ambiguous_or_review,0,0.664940
C00016,random_fortune_sample,74,TD Synnex,@tdsynnex,1517509644230569984,https://x.com/tdsynnex/status/1517509644230569984,Fri Apr 22 14:24:27 +0000 2022,"On behalf of all of us at TD SYNNEX, Happy #EarthDay! Learn more about this year's theme, #InvestInOurPlanet, and how one by one, we can all build a healthier planet: https://t.co/SgFvbCe0qf https://t.co/5jbsDtgtYs",2,1.098612288668,0,0.460298,non_humorous,0.000000,non_humor,not_applicable,0,0.920596
C00017,classifier_disagreement,39,Morgan Stanley,@morganstanley,1988007338289070283,https://x.com/morganstanley/status/1988007338289070283,Mon Nov 10 22:14:19 +0000 2025,"Our CIO and Chief U.S.  Equity Strategist Mike Wilson unpacks why stocks are likely to stay resilient despite uncertainties related to Fed rates, government shutdown and tariffs. Tune into the latest Thoughts on the Market. https://t.co/UBdnPu0EHS https://t.co/TXUGJT1Enq",38,3.66356164613,0,0.398496,non_humorous,0.000000,humor,self_enhancing,1,0.796992
C00018,full_chain_aggressive,57,Albertsons,@albertsons,1347226514320977921,https://x.com/albertsons/status/1347226514320977921,Thu Jan 07 17:00:05 +0000 2021,Fresh and healthy doesn’t have to be hard. Get more greens in your diet with grab-n-go salads and other fresh options at your local store! https://t.co/nzYO0AOuuq,22,3.135494215929,1,0.657885,affiliative,0.349507,humor,aggressive,0,0.684230
C00019,wendys_transfer_aggressive,22,Ford Motor,@Ford,1920207692368380230,https://x.com/Ford/status/1920207692368380230,Wed May 07 20:02:44 +0000 2025,"RT @jimfarley98: Just like his best-selling book “Tuesdays with Morrie,” @MitchAlbom is full of wisdom &amp; inspiring perspectives. It was a p…",16,2.833213344056,1,0.565658,aggressive,0.320834,ambiguous,ambiguous_or_review,0,0.868684
C00020,random_fortune_sample,8,McKesson,@mckesson,1574451264938823680,https://x.com/mckesson/status/1574451264938823680,Mon Sep 26 17:30:08 +0000 2022,"In the spring of 2019, St. Joseph's Health decided to maximize its current Patient Assistance Program (PAP) by partnering with McKesson RxO. Download the case study to learn how we helped them save millions in PAP recovery. https://t.co/Plek1W4ypv https://t.co/nL2TVDUTZl",5,1.791759469228,0,0.415903,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.831806
C00021,wendys_transfer_aggressive,12,JPMorgan Chase,@jpmorgan,1977742173605937350,https://x.com/jpmorgan/status/1977742173605937350,Mon Oct 13 14:24:13 +0000 2025,"This comes at a pivotal time as the U.S. looks to modernize infrastructure, strengthen supply chains, and implement policies that promote growth. Learn more. 👇 https://t.co/DdI6cuqIBH",61,4.127134385045,1,0.556360,aggressive,0.338078,non_humor,not_applicable,1,0.887280
C00022,high_engagement_posts,44,Walt Disney,@Disney,2064604764646658116,https://x.com/Disney/status/2064604764646658116,Wed Jun 10 07:05:09 +0000 2026,RT @Pixar: Taylor Swift has a friend in Randy Newman at the world premiere of Toy Story 5 https://t.co/DRe55mo6IP,4921,8.501470230951,1,0.517131,affiliative,0.296239,ambiguous,ambiguous_or_review,0,0.965738
C00023,type_uncertain,25,Home Depot,@HDCares,743544934771335169,https://x.com/HDCares/status/743544934771335169,Thu Jun 16 20:45:01 +0000 2016,@Pauleadamian Thx for the positive feedback! We have saved your praise under case#2295206 and we'll share w/ the Store Manager. -TeamCare,2,1.098612288668,1,0.547252,affiliative,0.486149,non_humor,not_applicable,1,0.905496
C00024,wendys_transfer_aggressive,1,Amazon,@amazon,1902071355526484361,https://x.com/amazon/status/1902071355526484361,Tue Mar 18 18:55:24 +0000 2025,"Alexa+ is designed to leverage state-of-the-art architecture that connects LLMs, agentic capabilities, third-party services, and more.

Here are 5 things you really need to know about Amazon's smartest, most conversational, and personalized AI assistant to date 🤩👇. https://t.co/Pxpm1gbWdw",207,5.337538079701,1,0.654238,aggressive,0.331130,ambiguous,ambiguous_or_review,0,0.691524
C00025,wendys_transfer_aggressive,20,Bank of America,@bankofamerica,1726280506432778320,https://x.com/bankofamerica/status/1726280506432778320,Sun Nov 19 16:45:20 +0000 2023,"When it comes to handling your business finances, where do you seek guidance the most?",31,3.4657359028,1,0.627907,aggressive,0.350034,non_humor,not_applicable,1,0.744186
C00026,classifier_disagreement,25,Home Depot,@HDCares,789112943271084034,https://x.com/HDCares/status/789112943271084034,Thu Oct 20 14:36:01 +0000 2016,"@JmarcDn Good Morning, will you please send an email to TeamSocial@homedepot.com with a picture of the full post card you received?-TeamCare",0,0.0,1,0.566188,affiliative,0.462749,non_humor,not_applicable,1,0.867624
C00027,full_chain_aggressive,46,PepsiCo,@pepsico,1435641903060602884,https://x.com/pepsico/status/1435641903060602884,Wed Sep 08 16:31:17 +0000 2021,Black-owned businesses are critical to our communities. We’re working to help more of them thrive with The #PepsiCoFoundation + @NatUrbanLeague Black Restaurant Accelerator. Meet our first participants: https://t.co/F2nmYsDh0q https://t.co/i38AiwqpWn,10,2.397895272798,0,0.349674,non_humorous,0.000000,humor,aggressive,1,0.699348
C00028,wendys_transfer_aggressive,11,Microsoft,@microsoft,1866581628488929529,https://x.com/microsoft/status/1866581628488929529,Tue Dec 10 20:31:54 +0000 2024,"The time that AI saves allows employees to do things that create value. Learn more about the different ways you can level up your work from Tomas Chamorro-Premuzic, psychologist and author: https://t.co/VXTp0zfRev",258,5.5568280617,1,0.647415,aggressive,0.343275,non_humor,not_applicable,1,0.705170
C00029,random_fortune_sample,50,FedEx,@fedex,1758153872403489004,https://x.com/fedex/status/1758153872403489004,Thu Feb 15 15:38:42 +0000 2024,Found a friend on the route 🐾  @OriginalMurdick https://t.co/9MBIj9O9fe,55,4.025351690735,0,0.312053,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.624106
C00030,high_engagement_posts,43,Tesla,@tesla,2057276654326853817,https://x.com/tesla/status/2057276654326853817,Thu May 21 01:45:51 +0000 2026,RT @elonmusk: About to hand over the last Model S &amp; X cars ever made,6466,8.774467601447,0,0.446777,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.893554
C00031,humor_presence_uncertain,31,StoneX Group,@StoneX_Official,2021694617775702096,https://x.com/StoneX_Official/status/2021694617775702096,Wed Feb 11 21:15:32 +0000 2026,"Early market performance often shapes investor expectations long before fundamentals fully play out. Historical data suggests January returns can influence sentiment, risk appetite, and positioning for the rest of the year, even as exceptions remind markets to stay cautious. 
 
Michael Lytle, Chief Investment Officer at StoneX Wealth Management, explains why the January Barometer continues to resonate with investors and how to interpret its signals responsibly. 
 
Watch the full conversation: https://t.co/RoiRCvBRYW 
 
#StoneX #Equities #MarketOutlook",3,1.38629436112,1,0.517178,affiliative,0.369450,ambiguous,ambiguous_or_review,0,0.965644
C00032,random_fortune_sample,26,Fannie Mae,@fanniemae,1939775954974388635,https://x.com/fanniemae/status/1939775954974388635,Mon Jun 30 20:00:01 +0000 2025,"As U.S. National Homeownership Month ends, we recognize the strength and stability that homeownership brings to families and communities. That's why we remain committed to helping the American Dream of homeownership become a reality for more people. https://t.co/1Ue3IZRtyA",8,2.197224577336,1,0.542868,affiliative,0.361344,ambiguous,ambiguous_or_review,0,0.914264
C00033,classifier_disagreement,72,Publix Super Markets,@Publix,1937556327464603941,https://x.com/Publix/status/1937556327464603941,Tue Jun 24 17:00:01 +0000 2025,Did your wedding have a #Publix cake? We want to see it! 🎂,80,4.394449154672,1,0.520508,affiliative,0.417283,non_humor,not_applicable,1,0.958984
C00034,type_uncertain,49,RTX,@RTX_News,1260553296953180160,https://x.com/RTX_News/status/1260553296953180160,Wed May 13 12:51:40 +0000 2020,"Helping our suppliers get the support they need is one of our top priorities. We’re engaged in helping them meet the challenges of COVID-19, from connecting them to important resources to providing them with tools needed to cope with the crisis. 

https://t.co/7SHxStOMKy https://t.co/2ZjvdBl1jU",48,3.891820298111,1,0.526329,affiliative,0.384301,humor,self_enhancing,0,0.947342
C00035,type_uncertain,51,Progressive,@progressive,1850977951950795250,https://x.com/progressive/status/1850977951950795250,Mon Oct 28 19:08:27 +0000 2024,Turning into your parents is like the house that hands out raisins at #Halloween: to be avoided at all costs. #DrRick https://t.co/PyFY5TBQBs,32,3.496507561466,1,0.656325,aggressive,0.379263,ambiguous,ambiguous_or_review,0,0.687350
C00036,wendys_transfer_aggressive,42,Target,@target,1570434727265419266,https://x.com/target/status/1570434727265419266,Thu Sep 15 15:29:50 +0000 2022,"going to Target, need anything?",5111,8.539345996057,1,0.561727,aggressive,0.273781,ambiguous,ambiguous_or_review,0,0.876546
C00037,firm_balanced_sample,82,Oracle,@oracle,1862851580854198713,https://x.com/oracle/status/1862851580854198713,Sat Nov 30 13:30:01 +0000 2024,"Learn how you can quickly and easily leverage #GenAI capabilities where you need them across your entire tech stack—apps, infrastructure, and more: https://t.co/g0109ttKIy https://t.co/oOu5YJ68WS",71,4.276666119016,1,0.502460,affiliative,0.404393,non_humor,not_applicable,1,0.995080
C00038,random_fortune_sample,83,Cisco Systems,@Cisco,2044326864391467410,https://x.com/Cisco/status/2044326864391467410,Wed Apr 15 08:08:00 +0000 2026,"Faster response. More precise location. Better outcomes when it matters most. Learn how emergency services are using real time intelligence to save lives, with insight from Iron Bow CTO, Greg Stemberger ➡️ https://t.co/MzG8q9XT2m https://t.co/8uVY1VBTRi",39,3.688879454114,0,0.318798,non_humorous,0.000000,non_humor,not_applicable,0,0.637596
C00039,wendys_transfer_aggressive,45,Johnson & Johnson,@JNJNews,1617567977116762112,https://x.com/JNJNews/status/1617567977116762112,Mon Jan 23 17:00:33 +0000 2023,"Innovators at #JNJ are aiming to help improve maternal health outcomes by studying rare diseases like #HDFN. For #MaternalHealth Awareness Day, learn about the passion these innovators have for their work and the progress J&amp;J is making to help pregnant people and their babies.",17,2.890371757896,1,0.674948,aggressive,0.350543,humor,affiliative,0,0.650104
C00040,high_engagement_posts,44,Walt Disney,@Disney,2064557746331304083,https://x.com/Disney/status/2064557746331304083,Wed Jun 10 03:58:19 +0000 2026,the toys came out to play #ToyStory5 https://t.co/PYZtwXZOCr,2485,7.818430272071,0,0.315596,non_humorous,0.000000,non_humor,not_applicable,0,0.631192
C00041,random_fortune_sample,61,Lockheed Martin,@lockheedmartin,1973753713878860276,https://x.com/lockheedmartin/status/1973753713878860276,Thu Oct 02 14:15:30 +0000 2025,Vote for the X-59 in the Coolest Thing Made in California contest! Quiet supersonic flight in half the time—it doesn’t get cooler than this. Click below to cast your vote!😎🔗⬇️,588,6.378426183652,1,0.528511,aggressive,0.348491,humor,affiliative,0,0.942978
C00042,classifier_disagreement,71,Delta Air Lines,@Delta,2014493318617444845,https://x.com/Delta/status/2014493318617444845,Fri Jan 23 00:20:09 +0000 2026,"As we prep for Winter Storm Fern, flight cancellations are impacting airports in North Texas, Oklahoma, Arkansas, Louisiana and Tennessee. Monitor or adjust your travel in the Delta app or on https://t.co/lVlOjYwO0A. https://t.co/ebw2ODQ7Uo",333,5.811140992977,0,0.495950,non_humorous,0.000000,humor,self_enhancing,1,0.991900
C00043,wendys_transfer_aggressive,11,Microsoft,@microsoft,2044825780895830113,https://x.com/microsoft/status/2044825780895830113,Thu Apr 16 17:10:31 +0000 2026,"RT @satyanadella: Our Fairwater datacenter in Wisconsin is going live, ahead of schedule.

As the world’s most powerful AI datacenter, it w…",442,6.093569770045,1,0.514985,aggressive,0.321003,ambiguous,ambiguous_or_review,0,0.970030
C00044,classifier_disagreement,77,AbbVie,@abbvie,1775177673569878380,https://x.com/abbvie/status/1775177673569878380,Tue Apr 02 15:05:13 +0000 2024,Science’s most profound mysteries are still out there. Our #scientists and #engineers – with backgrounds ranging from #AI to #genomics – are collaborating to solve them. Explore how we’re making the big bets: https://t.co/rWULgTcVMf https://t.co/3YUMY7iq9y,13,2.639057329615,0,0.457758,non_humorous,0.000000,humor,self_enhancing,1,0.915516
C00045,low_engagement_posts,79,TJX,@tjmaxx,826233299186106369,https://x.com/tjmaxx/status/826233299186106369,Tue Jan 31 00:59:03 +0000 2017,@laurenpoole20 Please give our Customer Service a call directly at 1-800-926-6299 M-F 9-6 EST. They would be happy to address this.,0,0.0,1,0.642641,aggressive,0.386658,non_humor,not_applicable,1,0.714718
C00046,low_engagement_posts,91,General Dynamics,@generaldynamics,1881465045768655100,https://x.com/generaldynamics/status/1881465045768655100,Mon Jan 20 22:13:17 +0000 2025,"RT @GDIT: Today, we honor the life, work, and legacy of Dr. Martin Luther King, Jr. by embracing his call to serve those in need, support o…",1,0.69314718056,1,0.543444,aggressive,0.326083,ambiguous,ambiguous_or_review,0,0.913112
C00047,high_engagement_posts,35,AT&T,@ATT,2026703718637560075,https://x.com/ATT/status/2026703718637560075,Wed Feb 25 16:59:55 +0000 2026,It's go-time! 🤩 Bookmark this megathread for all things #GalaxyUnpacked. Comment #GalaxyAI if you’re feeling the excitement! https://t.co/BcdDIrJSzn,1891,7.545389749612,1,0.542681,aggressive,0.384505,ambiguous,ambiguous_or_review,0,0.914638
C00048,full_chain_aggressive,1,Amazon,@amazon,1894771180533391795,https://x.com/amazon/status/1894771180533391795,Wed Feb 26 15:27:07 +0000 2025,"They say you get better with age, and they’re not wrong. 🌟 I’m glowing up — meet Alexa+, the new version of yours truly! Still here to make your life easier, but now supercharged by generative AI. #AlexaPlus Follow live updates here and on About @Amazon: https://t.co/dQ0kb4IQRC",1048,6.955592608396,1,0.629434,affiliative,0.440543,humor,aggressive,0,0.741132
C00049,classifier_disagreement,79,TJX,@tjmaxx,786627194906775552,https://x.com/tjmaxx/status/786627194906775552,Thu Oct 13 17:58:32 +0000 2016,@jpbrightlight Hey! We love your advice. Could you send us a DM? We have a question to ask you!,0,0.0,1,0.623731,affiliative,0.603832,non_humor,not_applicable,1,0.752538
C00050,random_fortune_sample,89,Enterprise Products Partners,@EProd_Careers,1677450798949883904,https://x.com/EProd_Careers/status/1677450798949883904,Fri Jul 07 22:53:30 +0000 2023,We want to find the right people to drive our success at Enterprise Products. Could that be you? Click here to learn more about joining our team in US. https://t.co/R4oRC6Fr99,0,0.0,1,0.653000,affiliative,0.448859,ambiguous,ambiguous_or_review,0,0.694000
C00051,high_engagement_posts,42,Target,@target,1372925916066746371,https://x.com/target/status/1372925916066746371,Fri Mar 19 15:00:20 +0000 2021,"Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuXyUxhAp https://t.co/UI8pWZqDX5",16963,9.738848730594,0,0.275354,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.550708
C00052,random_fortune_sample,57,Albertsons,@albertsons,1233138776383188992,https://x.com/albertsons/status/1233138776383188992,Thu Feb 27 21:16:09 +0000 2020,Happy Strawberry Day! https://t.co/OYv5OrXB2Z,10,2.397895272798,0,0.193220,non_humorous,0.000000,non_humor,not_applicable,0,0.386440
C00053,classifier_disagreement,22,Ford Motor,@Ford,1932452698005061897,https://x.com/Ford/status/1932452698005061897,Tue Jun 10 15:00:01 +0000 2025,Convertible season is upon us. Drop it.,405,6.006353159602,1,0.545680,aggressive,0.348232,non_humor,not_applicable,1,0.908640
C00054,full_chain_aggressive,57,Albertsons,@albertsons,1351681934569603073,https://x.com/albertsons/status/1351681934569603073,Wed Jan 20 00:04:20 +0000 2021,"Purple potatoes –fun mashed potatoes, or good roasted and baked 😋 https://t.co/xPJDoRucAJ",5,1.791759469228,0,0.442863,non_humorous,0.000000,humor,aggressive,1,0.885726
C00055,random_fortune_sample,39,Morgan Stanley,@morganstanley,2031721705891066073,https://x.com/morganstanley/status/2031721705891066073,Wed Mar 11 13:19:36 +0000 2026,"In this Blueprint episode, TWFG Founder and CEO Gordy Bunch shares his goal of turning $10,000 into a public insurance company that empowers agents and communities. See how vision became reality with the support of Morgan Stanley across wealth management and the IPO journey. https://t.co/MZlrePolti",15,2.77258872224,1,0.508501,affiliative,0.404080,non_humor,not_applicable,1,0.982998
C00056,type_uncertain,29,Phillips 66,@Phillips66co,1392857175568134155,https://x.com/Phillips66co/status/1392857175568134155,Thu May 13 15:00:03 +0000 2021,"As part of GOOD ENERGY month in April, our Los Angeles Refinery sponsored Healthy Kids Week at the local YMCA to help remind the community of healthy living and eating habits after a challenging year. Learn more: https://t.co/rbVDKmes0P #GivingGoodEnergy",2,1.098612288668,1,0.599411,affiliative,0.287207,ambiguous,ambiguous_or_review,0,0.801178
C00057,wendys_transfer_aggressive,59,MetLife,@metlife,1565066227017449473,https://x.com/metlife/status/1565066227017449473,Wed Aug 31 19:57:20 +0000 2022,RT @CLTInno: It’s important for employers to understand how young tech employees who are already in the workforce are setting the pace and…,1,0.69314718056,1,0.544583,aggressive,0.276840,ambiguous,ambiguous_or_review,0,0.910834
C00058,classifier_disagreement,77,AbbVie,@abbvie,1895474150061293805,https://x.com/abbvie/status/1895474150061293805,Fri Feb 28 14:00:28 +0000 2025,"@EMA_News [Video description: On-screen text reads, “Immunology News.”]",1,0.69314718056,1,0.534592,aggressive,0.332463,non_humor,not_applicable,1,0.930816
C00059,firm_balanced_sample,27,Kroger,@kroger,1376976909813317641,https://x.com/kroger/status/1376976909813317641,Tue Mar 30 19:17:32 +0000 2021,Pomegranate seeds + fresh berries 🍓 + 🥥 coconut water = irresistible flavor. Check out this nature’s cereal bowl from Nicole S. for the freshest breakfast and shop all the ingredients you need at Kroger! https://t.co/NpPPXj7mur,32,3.496507561466,1,0.514655,affiliative,0.368675,ambiguous,ambiguous_or_review,0,0.970690
C00060,humor_presence_uncertain,53,Energy Transfer,@energytransfer,2044111098836570423,https://x.com/energytransfer/status/2044111098836570423,Tue Apr 14 17:50:38 +0000 2026,"RT @EnergyInDepth: Boat rides, fishing lines, and floating tubes all have one thing in common. #Oilandgas help make your lake day possible🚤…",2,1.098612288668,1,0.504722,affiliative,0.316232,ambiguous,ambiguous_or_review,0,0.990556
C00061,full_chain_aggressive,91,General Dynamics,@generaldynamics,1580218749696675841,https://x.com/generaldynamics/status/1580218749696675841,Wed Oct 12 15:28:03 +0000 2022,"If you're at #AUSA2022, swing by our booth to check out a scale model of our latest Mobile Protected Firepower vehicle configuration for the @usarmy. MPF's high power-to-weight ratio and hydro-pneumatic suspension provide outstanding speed and maneuverability. 

#gdatausa https://t.co/MqtKBpkXwl",209,5.347107530717,0,0.492141,non_humorous,0.000000,humor,aggressive,1,0.984282
C00062,random_fortune_sample,37,Comcast,@comcast,1780606892319863196,https://x.com/comcast/status/1780606892319863196,Wed Apr 17 14:38:59 +0000 2024,RT @TODAYshow: Good morning! Or should we say… Bonjour 🇫🇷 We are celebrating 100 Days until #Paris2024 on our TODAY plaza! https://t.co/K6Z…,16,2.833213344056,0,0.433255,non_humorous,0.000000,non_humor,not_applicable,0,0.866510
C00063,low_engagement_posts,31,StoneX Group,@StoneX_Official,1986052883238822390,https://x.com/StoneX_Official/status/1986052883238822390,Wed Nov 05 12:48:01 +0000 2025,"The UK S&amp;P Global Composite PMI rose to 52.2 in October, exceeding both preliminary estimates and market expectations, signalling renewed momentum despite economic uncertainty.",0,0.0,1,0.580502,aggressive,0.320663,humor,affiliative,0,0.838996
C00064,firm_balanced_sample,62,New York Life Insurance,@NewYorkLife,1579890830348877824,https://x.com/NewYorkLife/status/1579890830348877824,Tue Oct 11 17:45:01 +0000 2022,"We’re #18 on the 2022 Top 50 Best Companies for Latinas to Work for in the U.S. by LATINA Style Inc., and proud to once again be an employer of choice for Latinas.",7,2.07944154168,1,0.700875,affiliative,0.374944,humor,self_enhancing,0,0.598250
