variable_name,hypothesis,construct,role,numerator,denominator,formula,ambiguity_handling,interpretation,limitation,no_human_label_warning
total_posts,Diagnostic,Firm posting volume,Control / Denominator,All rows for firm-period,1,COUNT(rows),All posts included,Total number of posts by firm in the period. Used as denominator for share variables.,Does not distinguish collected vs. organic posts.,Not dependent on humor labels.
humor_count,H1,Humor usage volume,IV (raw count),Rows where humor_presence == 'humor',1,COUNT(humor_presence == 'humor'),Ambiguous posts NOT counted as humor (conservative),Number of humor posts in firm-period. Raw count; use log_humor_count for regression.,v1 operational label only. No human validation. Ambiguous posts excluded from humor.,Counts v1 labels only. ~48% of posts are ambiguous_or_review; true humor count may differ after human review.
non_humor_count,Diagnostic,Non-humor posting volume,Diagnostic,Rows where humor_presence == 'non_humor',1,COUNT(humor_presence == 'non_humor'),Ambiguous posts NOT included,Confirmed non-humor posts.,v1 operational label only.,v1 label only.
ambiguous_count,Diagnostic,Classification uncertainty,Diagnostic / Robustness,Rows where humor_presence == 'ambiguous',1,COUNT(humor_presence == 'ambiguous'),These ARE the ambiguous rows,Posts where humor presence could not be determined by v1 pipeline.,High ambiguous_count signals measurement uncertainty for that firm-period.,Human review of ambiguous rows would reduce this count.
ambiguity_rate,Diagnostic,Measurement uncertainty rate,Diagnostic / Robustness,ambiguous_count,total_posts,ambiguous_count / total_posts,Measures the ambiguity burden,Share of posts that could not be classified. Used to flag unreliable firm-periods.,Firm-periods with ambiguity_rate >= 0.50 are flagged as high_ambiguity.,Ambiguity is a v1 pipeline artifact. Human labels would resolve many of these.
humor_share,H1,Humor usage intensity (primary),IV,humor_count,total_posts,humor_count / total_posts,conservative: ambiguous treated as non-humor (not counted in numerator),Primary H1 IV. Share of firm's posts that are humor. Ambiguous posts counted in denominator but not numerator.,Conservative estimate; true humor share likely higher if ambiguous posts were resolved.,v1 label. ~48% of posts unresolved (ambiguous). Treat as lower bound on true humor share.
humor_share_ambiguity_as_zero,H1,Humor usage intensity (robustness: ambiguous=0),IV (Robustness),humor_count,total_posts,humor_count / total_posts,"ambiguity_as_zero: ambiguous posts contribute 0 to numerator, 1 to denominator",Identical to humor_share. Explicit robustness label for regressions treating ambiguous as non-humor.,Same as humor_share. Kept separately to allow explicit sensitivity labeling in regression tables.,v1 label only.
humor_share_ambiguity_excluded,H1,Humor usage intensity (robustness: ambiguous excluded),IV (Robustness),humor_count,humor_count + non_humor_count,humor_count / (humor_count + non_humor_count),ambiguity_excluded: ambiguous posts removed from both numerator and denominator,"Among posts that were unambiguously classified, share that are humor. NA if denominator == 0.",Denominator shrinks with high ambiguity. Not comparable across firms with very different ambiguity rates.,v1 label only. Excludes unresolved rows.
humor_share_ambiguity_as_missing,H1,Humor usage intensity (robustness: high-ambiguity flagged),IV (Robustness),humor_count (if ambiguity_rate < 0.50),total_posts (if ambiguity_rate < 0.50),IF ambiguity_rate < 0.50 THEN humor_count/total_posts ELSE NA,ambiguity_as_missing: firm-period flagged as NA if ambiguity_rate >= 0.50,humor_share restricted to firm-periods where ambiguity is below 50%. NA otherwise.,Results in listwise deletion of high-ambiguity firm-periods. May bias sample.,"NA values represent measurement uncertainty, not true absence of humor."
log_humor_count,H1,Humor posting frequency (logged),IV (log-transformed),1 + humor_count,1,log(1 + humor_count),conservative: ambiguous not counted as humor,Natural log of (1 + humor_count). Addresses right-skew in count data. Use in Poisson or log-transformed OLS.,log(1) = 0 for firms with zero humor. Consider zero-inflated models if zero-humor firm-periods are common.,v1 label only.
