후보_ID,표본_층화,Fortune_순위,회사명,X_계정,트윗_ID,트윗_URL,작성일시,본문,유머_존재여부,유머_유형,배정_코더,검토_상태,총_인게이지먼트,웬디스_유머_존재여부,웬디스_유머_유형,풀체인_유머_존재여부,풀체인_유머_유형,분류기_불일치,신뢰도,메모,검토자_ID
C01304,random_fortune_sample,19,Centene,@centene,1653112137110151187,https://x.com/centene/status/1653112137110151187,Mon May 01 19:00:21 +0000 2023,"To address the holistic needs of diverse and complex Medicare members, Centene partners with providers like @GalileoHealth, who set a new standard of care offering virtual and in-home care as well as mobile clinics to meet members where they are. https://t.co/a8ftyYr8DB",,,coder1,pending,4,1,aggressive,humor,affiliative,0,,,
C00398,humor_presence_uncertain,8,McKesson,@mckesson,1973192707771154472,https://x.com/mckesson/status/1973192707771154472,Wed Oct 01 01:06:16 +0000 2025,"Breakthroughs in cancer care begin with bold research. Sarah Cannon Research Institute (SCRI) leads the way by conducting community-based clinical trials. As a leading oncology research organization, SCRI brings promising therapies closer to patients: https://t.co/KmY3No8qIM https://t.co/mbZtg9noI3",,,coder1,pending,7,0,non_humorous,non_humor,not_applicable,0,,,
C00387,high_engagement_posts,69,Nationwide,@nationwide,1975572191535374606,https://x.com/nationwide/status/1975572191535374606,Tue Oct 07 14:41:29 +0000 2025,"Grateful for all the blessings and lessons, friends and relationships built on this journey! Thank you! ❤️",,,coder1,pending,1641,1,affiliative,non_humor,not_applicable,1,,,
C00550,full_chain_aggressive,57,Albertsons,@albertsons,1400134020894269448,https://x.com/albertsons/status/1400134020894269448,Wed Jun 02 16:55:38 +0000 2021,It’s Rotisserie Chicken Day! Pick up a Signature Café® or Open Nature® whole roasted chicken from the Deli today 🍗 https://t.co/NgYNDLxmQf,,,coder1,pending,7,1,self-enhancing,humor,aggressive,0,,,
C00598,firm_balanced_sample,28,Verizon Communications,@Verizon,1975186874726584722,https://x.com/Verizon/status/1975186874726584722,Mon Oct 06 13:10:22 +0000 2025,".@Verizon has announced that Dan Schulman has been appointed CEO. Dan has served on Verizon's Board since 2018. He will bring a proven record of transformative leadership and deep telecom industry experience to help us enter our next chapter of growth.

https://t.co/Ma3hRFgzMR https://t.co/H5OLuht3Nc",,,coder1,pending,931,0,non_humorous,non_humor,not_applicable,0,,,
C01114,random_fortune_sample,2,Walmart,@walmart,1930579275033239628,https://x.com/walmart/status/1930579275033239628,Thu Jun 05 10:55:42 +0000 2025,"Just got my Nintendo Switch 2 from @Walmart, right on time as promised! 🎮🚚 Thrilled with the delivery and they even tossed in some sweet goodies! 🙌 https://t.co/7ylI2oeXsY",,,coder1,pending,256,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C01366,random_fortune_sample,85,Charter Communications,@CharterNewsroom,1858533867281404259,https://x.com/CharterNewsroom/status/1858533867281404259,Mon Nov 18 15:32:58 +0000 2024,"Spectrum Promotes Steve Williams to Senior Vice President, Network Engineering and Technology: https://t.co/CfN8F050Oj https://t.co/2hRizNvaGn",,,coder1,pending,7,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00135,wendys_transfer_aggressive,16,Nvidia,@nvidia,2049963129673527509,https://x.com/nvidia/status/2049963129673527509,Thu Apr 30 21:24:31 +0000 2026,"""AI has created more than half a million jobs. Companies that use AI grow faster. When they grow faster, they hire more people.""

NVIDIA CEO Jensen Huang counters threats of job displacement in his conversation with SCSP's @Ylli_Bajraktari on Memos to the President. https://t.co/Z21ctNpgQR",,,coder1,pending,988,1,aggressive,non_humor,not_applicable,1,,,
C01118,firm_balanced_sample,100,Massachusetts Mutual Life,@massmutual,1211341610505490432,https://x.com/massmutual/status/1211341610505490432,Sun Dec 29 17:42:00 +0000 2019,Second on our list of most popular blog posts is a look at applying for a mortgage when you're already retired. It can be a little tricky.,,,coder1,pending,2,1,affiliative,non_humor,not_applicable,1,,,
C01165,high_engagement_posts,46,PepsiCo,@pepsico,1494703335202557954,https://x.com/pepsico/status/1494703335202557954,Fri Feb 18 16:00:20 +0000 2022,"Innovation Alert: New @rockstarenergy Unplugged is now on shelves (and online!). Made with hemp seed oil + B vitamins, with only 80mg of caffeine, in 3 tasty flavors. https://t.co/NzCL1Fi3GH",,,coder1,pending,1754,0,non_humorous,humor,affiliative,1,,,
C00214,firm_balanced_sample,96,Travelers,@travelers,1588195594488668168,https://x.com/travelers/status/1588195594488668168,Thu Nov 03 15:45:11 +0000 2022,"“Factors unrelated to an individual’s injury, such as fear, unrealistic expectations, lack of sleep or minimal social support, can hinder the recovery process,” said Dr. Marcos Iglesias, chief medical director @Travelers. 

https://t.co/Vja4fAVlXi",,,coder1,pending,2,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C01182,random_fortune_sample,35,AT&T,@ATT,1915857247399190686,https://x.com/ATT/status/1915857247399190686,Fri Apr 25 19:55:37 +0000 2025,🔥#ATTAnnihilatorCup is back starting 5/1! Thursdays in May… friendships will be tested (@ludwig @loltyler1 💙) - while other alliances may be formed… - https://t.co/zsyZDaDMtm https://t.co/hCDrr0xwd4,,,coder1,pending,89,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00790,wendys_transfer_aggressive,27,Kroger,@kroger,1521489766511828992,https://x.com/kroger/status/1521489766511828992,Tue May 03 14:00:02 +0000 2022,Imagine dating someone who has never tried Kroger sushi 🚩,,,coder1,pending,46,1,aggressive,non_humor,not_applicable,1,,,
C00761,random_fortune_sample,20,Bank of America,@bankofamerica,1655587004397113347,https://x.com/bankofamerica/status/1655587004397113347,Mon May 08 14:54:35 +0000 2023,"Fredbird likes to rest his wings, but why is he glued to his phone? https://t.co/SENaHqH8tC",,,coder1,pending,27,1,aggressive,non_humor,not_applicable,1,,,
C00511,random_fortune_sample,20,Bank of America,@bankofamerica,1646591003640381440,https://x.com/bankofamerica/status/1646591003640381440,Thu Apr 13 19:07:42 +0000 2023,"RT @bryantparknyc: Free concerts are back baby ✨🎤🎭!

We're excited to announce our upcoming season of Picnic Performances presented by @Ban…",,,coder1,pending,16,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
