후보_ID,표본_층화,Fortune_순위,회사명,X_계정,트윗_ID,트윗_URL,작성일시,본문,유머_존재여부,유머_유형,배정_코더,검토_상태,총_인게이지먼트,웬디스_유머_존재여부,웬디스_유머_유형,풀체인_유머_존재여부,풀체인_유머_유형,분류기_불일치,신뢰도,메모,검토자_ID
C01093,classifier_disagreement,65,Caterpillar,@CaterpillarInc,1425155176646815747,https://x.com/CaterpillarInc/status/1425155176646815747,Tue Aug 10 18:00:46 +0000 2021,Our new Cat Pulverizer line includes three rotatable primary models and three fixed secondary models. They're designed to fit 18- to 50-tonne machines and are built around the same industry-leading SpeedBooster technology found in Cat Multi-Processors. https://t.co/ylnyCHCU8C,0,,coder3,pending,12,1,affiliative,non_humor,not_applicable,1,,,
C00524,random_fortune_sample,10,Cencora,@CencoraGlobal,1779918037900034338,https://x.com/CencoraGlobal/status/1779918037900034338,Mon Apr 15 17:01:44 +0000 2024,"Artificial intelligence is a promising technology to reduce time and workload burden. At the same time, questions about accuracy and transparency arise when considering AI. 

Our experts assessed seven different AI platforms. Read their findings: https://t.co/I52KwravvU https://t.co/drz38yamJ1",0,,coder3,pending,2,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00219,low_engagement_posts,25,Home Depot,@HDCares,845343964463087618,https://x.com/HDCares/status/845343964463087618,Fri Mar 24 18:38:01 +0000 2017,@NancyJB88 What's your question? -TeamCare,0,,coder3,pending,0,1,aggressive,non_humor,not_applicable,1,,,
C00692,classifier_disagreement,9,Exxon Mobil,@exxonmobil,1514649777874558979,https://x.com/exxonmobil/status/1514649777874558979,Thu Apr 14 17:00:22 +0000 2022,"Electric vehicles may not need gas, but they still need effective lubricants. Chemist Abby Van Wassen develops lubricants and coolants to help keep electric vehicles humming along. Let's hear what she has to say about her cutting-edge work. https://t.co/QknOWnX97J https://t.co/Eys6OhYFUa",1,3,coder3,pending,35,1,affiliative,non_humor,not_applicable,1,,,
C01006,random_fortune_sample,2,Walmart,@walmart,1691951776943993066,https://x.com/walmart/status/1691951776943993066,Wed Aug 16 23:15:13 +0000 2023,Tap the shop tab to shop the items you love. #backtocollege,0,,coder3,pending,28,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00453,random_fortune_sample,75,ConocoPhillips,@conocophillips,1857367210811146367,https://x.com/conocophillips/status/1857367210811146367,Fri Nov 15 10:17:05 +0000 2024,"During breast cancer awareness month, #ConocoPhillipsMalaysia jointly sponsored the PETRONITA Orchid Run &amp; Ride 2024, held a lunch and learn about proactive healthcare and participated in a Pink Walk at Taman Tugu. Our thanks to all who participated! https://t.co/VGed1XWdRu",0,,coder3,pending,10,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C01432,wendys_transfer_aggressive,6,CVS Health,@cvshealth,1445390210263658503,https://x.com/cvshealth/status/1445390210263658503,Tue Oct 05 14:07:34 +0000 2021,"Congratulations to David Chavez, Senior Vice President &amp; Chief Audit Executive, CVS Health for being named  @HispanicExecMag’s Top 10 Líderes of 2021.",0,,coder3,pending,14,1,aggressive,non_humor,not_applicable,1,,,
C00330,random_fortune_sample,47,Boeing,@boeing,1702302575796560079,https://x.com/boeing/status/1702302575796560079,Thu Sep 14 12:45:35 +0000 2023,"Our heartfelt condolences go out to those affected by the earthquake in Morocco. To aid in relief efforts, we're donating $300,000 to the @RedCross and @CAREGlobal. We'll also match employee contributions dollar-for-dollar.

More: https://t.co/QlV9MDmTNw https://t.co/pF2KUyZUa2",0,,coder3,pending,116,0,non_humorous,humor,self_enhancing,1,,,
C00671,wendys_transfer_aggressive,95,Liberty Mutual Insurance Group,@LibertyMutual,1313170093950590982,https://x.com/LibertyMutual/status/1313170093950590982,Mon Oct 05 17:32:02 +0000 2020,A good way to participate is to teach your children what smoke alarms sound like and what to do when they hear one. #FirePreventionWeek https://t.co/oLSBhpcovQ,0,,coder3,pending,14,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00622,low_engagement_posts,90,Ingram Micro Holding,@IngramMicroInc,1948469325343429038,https://x.com/IngramMicroInc/status/1948469325343429038,Thu Jul 24 19:44:22 +0000 2025,"We just cut the ribbon on 46 years in business and 10 years at our Irvine HQ!

Big thanks to the Greater Irvine Chamber, our amazing associates, local elected officials, our Trust X partners, and community and philanthropic friends who helped us celebrate! #IngramMicro https://t.co/Qq5JofbXUV",1,3,coder3,pending,1,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00594,humor_presence_uncertain,18,Elevance Health,@elevancehealth,1406658188506714117,https://x.com/elevancehealth/status/1406658188506714117,Sun Jun 20 17:00:21 +0000 2021,"Don't forget! City of Hope will participate in tomorrow's #TakingActionNHMA Twitter chat, hosted by @NHMAmd. Join the conversation at 10 a.m. PDT. https://t.co/vbnHmsoiVI",0,,coder3,pending,6,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00805,random_fortune_sample,1,Amazon,@amazon,1697587623382905279,https://x.com/amazon/status/1697587623382905279,Fri Sep 01 12:30:03 +0000 2023,September is Global Month of Volunteering at Amazon! Tens of thousands of Amazon employees will come together to volunteer for causes they’re passionate about to positively impact communities where we live and work. Learn more here: https://t.co/zdtFHth2ds https://t.co/tqDx93R6YB,0,,coder3,pending,184,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C01461,classifier_disagreement,34,Humana,@humana,1712196378321908176,https://x.com/humana/status/1712196378321908176,Wed Oct 11 20:00:02 +0000 2023,"Learn more about what they’re doing to drive impact on our communities, company and culture at Humana → https://t.co/NRG0iw5gF1 https://t.co/8hc9atfaPn",0,,coder3,pending,1,1,affiliative,non_humor,not_applicable,1,,,
C00216,classifier_disagreement,39,Morgan Stanley,@morganstanley,2059390112425722107,https://x.com/morganstanley/status/2059390112425722107,Tue May 26 21:43:59 +0000 2026,"Our Chief Asia Economist Chetan Ahya looks at why spending not only on AI, but also on energy and defense, could drive Asia's strongest industrial cycle in decades. Tune into the latest Thoughts on the Market. https://t.co/7GHJt4iGvC https://t.co/6D3fM7TEgn",0,,coder3,pending,16,0,non_humorous,humor,self_enhancing,1,,,
C00294,firm_balanced_sample,26,Fannie Mae,@fanniemae,1930708728703050122,https://x.com/fanniemae/status/1930708728703050122,Thu Jun 05 19:30:06 +0000 2025,"Almost 1 million* homebuyers have registered for HomeView®, our free homeownership education course. Learn how HomeView helps your clients get a clearer view to homebuying: https://t.co/BwtBIzOqVH https://t.co/BJwnigtRfI",0,,coder3,pending,10,0,non_humorous,non_humor,not_applicable,0,,,
C00312,humor_presence_uncertain,64,Allstate,@allstate,1336414152185815046,https://x.com/allstate/status/1336414152185815046,Tue Dec 08 20:55:37 +0000 2020,Middle schoolers during Christmas.. Join me in the #GoodHandsChallenge where every video submission = a $10 donation to college scholarship funds via @Allstate. BONUS: Kirk Herbstreit might commentate on your video. You're up next @annieagar #ad https://t.co/XzsHemVMgv,0,,coder3,pending,330,1,aggressive,non_humor,not_applicable,1,,,
C00001,low_engagement_posts,89,Enterprise Products Partners,@EProd_Careers,1683501294936547329,https://x.com/EProd_Careers/status/1683501294936547329,Mon Jul 24 15:36:01 +0000 2023,"Enterprise Products is the name to know in energy…and we want to know more about what would make you a great Specialist, Lead Systems. Apply today! https://t.co/G3efLVwvgo",0,,coder3,pending,0,1,affiliative,non_humor,not_applicable,1,,,
C00854,humor_presence_uncertain,63,Capital One Financial,@CapitalOne,1880965198028140960,https://x.com/CapitalOne/status/1880965198028140960,Sun Jan 19 13:07:04 +0000 2025,Account functionality for all customers is now restored. We sincerely apologize for how frustrating this experience has been. We are committed to making it right. We encourage customers to check their accounts online and contact us for any support. https://t.co/n9yxsUliWO,0,,coder3,pending,641,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00562,wendys_transfer_aggressive,63,Capital One Financial,@CapitalOne,1564254041340772352,https://x.com/CapitalOne/status/1564254041340772352,Mon Aug 29 14:10:00 +0000 2022,"The key to a once-in-a-lifetime experience might be already in your wallet. Cardholders, don’t miss the incredible opportunity to enjoy dinner prepared by Chef @dominiquecrenn at the Hirshhorn Museum on 9/29, in partnership @TheCultivist.",0,,coder3,pending,27,1,aggressive,humor,affiliative,0,,,
C00416,low_engagement_posts,25,Home Depot,@HDCares,840659878767140864,https://x.com/HDCares/status/840659878767140864,Sat Mar 11 20:25:08 +0000 2017,@katiearvidson Deepest apologies! Please send your order number/contact info/tweet to TeamSocial@homedepot.com for help.,0,,coder3,pending,0,0,non_humorous,non_humor,not_applicable,0,,,
C00309,wendys_transfer_aggressive,11,Microsoft,@microsoft,2001347752199098686,https://x.com/microsoft/status/2001347752199098686,Wed Dec 17 17:44:22 +0000 2025,"RT @Copilot: Warning: May cause smiling, humming carols, and a sudden urge to enjoy the moment. Mico is officially in Eggnog Mode.

Downloa…",1,3,coder3,pending,55,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00583,humor_presence_uncertain,82,Oracle,@oracle,2013646451440603588,https://x.com/oracle/status/2013646451440603588,Tue Jan 20 16:15:00 +0000 2026,Discover how to drive real value for your organization with the latest AI innovations—join us in a city near you for #AIWorld Tour! https://t.co/SwuyUqpqPH https://t.co/EMgpmXB01i,0,,coder3,pending,56,0,non_humorous,non_humor,not_applicable,0,,,
C00631,classifier_disagreement,34,Humana,@humana,1700464065305342442,https://x.com/humana/status/1700464065305342442,Sat Sep 09 11:00:00 +0000 2023,"Learn more about periodontal disease in older adults, as well as dental coverage options between Original Medicare and Humana's Medicare Advantage → https://t.co/FQ0RzecYhA.",0,,coder3,pending,2,1,aggressive,non_humor,not_applicable,1,,,
C00357,classifier_disagreement,90,Ingram Micro Holding,@IngramMicroInc,1974126099979292989,https://x.com/IngramMicroInc/status/1974126099979292989,Fri Oct 03 14:55:14 +0000 2025,"Honored to be named Logitech's Global Distributor of the Year for 2025. Thank you, @Logitech, for the recognition. Here’s to continued success and innovation together! #IngramMicro https://t.co/vEZwCNA9zY",0,,coder3,pending,0,0,non_humorous,humor,affiliative,1,,,
C01217,classifier_disagreement,86,American Airlines Group,@AmericanAir,1843407170601210203,https://x.com/AmericanAir/status/1843407170601210203,Mon Oct 07 21:44:52 +0000 2024,"We are monitoring the path of #HurricaneMilton and have issued a travel alert allowing customers whose travel plans are affected to rebook without change fees.  
Visit https://t.co/zKpdygHskR for more information on your flexible travel options. https://t.co/9IEVWNMpBs",0,,coder3,pending,269,1,affiliative,non_humor,not_applicable,1,,,
C00862,high_engagement_posts,22,Ford Motor,@Ford,1549064745675800576,https://x.com/Ford/status/1549064745675800576,Mon Jul 18 16:13:10 +0000 2022,Built to go scary fast in a scary place. Ford Raptor R. We recommend turning on all the lights in your house before watching this. See more at https://t.co/liD4bbfhBL. #Ford #ScaryFast #RaptorR https://t.co/hqLQ5M5Rta,1,3,coder3,pending,3644,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C01244,random_fortune_sample,87,Tyson Foods,@tysonfoods,1490690919653421059,https://x.com/tysonfoods/status/1490690919653421059,Mon Feb 07 14:16:25 +0000 2022,"""We're pleased with the results of the first quarter and of the steps that we are taking to improve productivity."" — Donnie King, President and CEO of Tyson Foods. Learn more about our first quarter results here: https://t.co/QdtbPND3OO https://t.co/xTcmHWYCa8",0,,coder3,pending,34,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00261,random_fortune_sample,35,AT&T,@ATT,1860831551602237847,https://x.com/ATT/status/1860831551602237847,Sun Nov 24 23:43:09 +0000 2024,Congrats to #ATTAthlete Maverick McNealy on an incredible performance at @TheRSMClassic to claim his first career PGA TOUR win! ⛳️🏆🙌 https://t.co/BeGdV2wCQV,0,,coder3,pending,62,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00606,random_fortune_sample,27,Kroger,@kroger,1318612885069856770,https://x.com/kroger/status/1318612885069856770,Tue Oct 20 17:59:45 +0000 2020,.@TheKalenAllen is giving us early Thanksgiving vibes with his ingredients. See what he cooked with @KrogerChefbot’s help 👏,1,2,coder3,pending,9,0,non_humorous,non_humor,not_applicable,0,,,
C01333,random_fortune_sample,26,Fannie Mae,@fanniemae,1978158865427370061,https://x.com/fanniemae/status/1978158865427370061,Tue Oct 14 18:00:00 +0000 2025,Less manual loan processing leads to a greater impact on housing across America. That’s why digital technology that makes lending more efficient is always front of mind for us. https://t.co/8FE8jQdsz6 https://t.co/jydXafSakr,0,,coder3,pending,7,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00669,low_engagement_posts,25,Home Depot,@HDCares,826070466020462596,https://x.com/HDCares/status/826070466020462596,Mon Jan 30 14:12:01 +0000 2017,@katbiello Thx for the positive feedback! Pls send details to TeamSocial@homedepot.com and we'll share w/ the Store Manager. -TeamCare,0,,coder3,pending,0,0,non_humorous,non_humor,not_applicable,0,,,
C00837,low_engagement_posts,91,General Dynamics,@generaldynamics,1560286858462085125,https://x.com/generaldynamics/status/1560286858462085125,Thu Aug 18 15:25:50 +0000 2022,"RT @GDMS: #GDMissionSystems has ranked a TOP 100 Internship Program in the U.S. w/@wayup! 
🏆 
A big THANK YOU to all our interns for all th…",0,,coder3,pending,1,0,non_humorous,non_humor,not_applicable,0,,,
C00634,humor_presence_uncertain,83,Cisco Systems,@Cisco,1972717914248892603,https://x.com/Cisco/status/1972717914248892603,Mon Sep 29 17:39:36 +0000 2025,"RT @duosec: 82% of financial decision-makers are already increasing identity security budgets, yet too many organizations still treat it as…",0,,coder3,pending,2,0,non_humorous,non_humor,not_applicable,0,,,
C00616,wendys_transfer_aggressive,18,Elevance Health,@elevancehealth,1392160786752098339,https://x.com/elevancehealth/status/1392160786752098339,Tue May 11 16:52:51 +0000 2021,Anthem seeks to address issues raised by its #SNMH report which showed that older American did not seek help as much as would be expected during the pandemic: https://t.co/gypPI3RphV,0,,coder3,pending,7,1,aggressive,non_humor,not_applicable,1,,,
C01448,high_engagement_posts,44,Walt Disney,@Disney,1903099775211254234,https://x.com/Disney/status/1903099775211254234,Fri Mar 21 15:01:58 +0000 2025,"The most talked about movie of the year arrives 🗣️

Disney’s #SnowWhite is now playing in theaters. Get tickets: https://t.co/rh2nMCjQM6 https://t.co/QRFtmKrtE3",1,3,coder3,pending,5989,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C01051,random_fortune_sample,10,Cencora,@CencoraGlobal,1612525010509340673,https://x.com/CencoraGlobal/status/1612525010509340673,Mon Jan 09 19:01:36 +0000 2023,"Our Andrea Zobel  recently penned a piece with @pharmaphorum about the significant milestone of the cell and gene therapy (CGT) industry. Her piece discussed what the approval of Ebvallo means for the industry. 

Read the article: https://t.co/tJZApHkjmv",0,,coder3,pending,0,1,self-enhancing,humor,self_enhancing,0,,,
C01274,random_fortune_sample,84,HP,@hp,1582729545366601728,https://x.com/hp/status/1582729545366601728,Wed Oct 19 13:45:03 +0000 2022,"How are researchers training computers to ""see""? 👁️👁️ Machine learning is helping to replicate how our brains identify and interpret images, but with the speed of a machine and on a massive scale https://t.co/pEA5jAtwx0 https://t.co/ohlvCKNBTn",0,,coder3,pending,43,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00144,full_chain_aggressive,2,Walmart,@walmart,1818306602027413681,https://x.com/walmart/status/1818306602027413681,Tue Jul 30 15:24:11 +0000 2024,"Who knew talking about talking could be so exhausting? Say less.

#BackToCollege #CollegeLife #BackToSchoolShopping

Shoutout to @SCADpro for this cart collab! 🛒 https://t.co/0A4lYre3Qu",1,2,coder3,pending,30,1,affiliative,humor,aggressive,0,,,
C00884,classifier_disagreement,46,PepsiCo,@pepsico,1362914134170476547,https://x.com/pepsico/status/1362914134170476547,Fri Feb 19 23:57:05 +0000 2021,"Our thoughts are with all those impacted by the #TexasFreeze. The #PepsiCoFoundation is working quickly with partners on the ground to provide relief, and we will continue to be there on the road to recovery: https://t.co/WIhlF8jT2g https://t.co/TfOxhSucJ4",0,,coder3,pending,63,0,non_humorous,humor,self_enhancing,1,,,
C00746,wendys_transfer_aggressive,74,TD Synnex,@tdsynnex,1592937946495479808,https://x.com/tdsynnex/status/1592937946495479808,Wed Nov 16 17:49:36 +0000 2022,"#CommunitySolv for TD SYNNEX #NorthAmerica was an unforgettable experience. It's all about the #PowerofPartnership

#WeAreTDSYNNEX https://t.co/3Geoia0AcR",1,2,coder3,pending,5,1,aggressive,non_humor,not_applicable,1,,,
C00404,type_uncertain,52,Lowe's,@lowes,1886387076876087807,https://x.com/lowes/status/1886387076876087807,Mon Feb 03 12:11:41 +0000 2025,"Next Stop: 📍New Orleans 

The Lowe's Home Team is headed to Super Bowl LIX

Congrats, Travis! https://t.co/sSpF29fvkk",1,2,coder3,pending,242,1,self-enhancing,ambiguous,ambiguous_or_review,0,,,
C00004,classifier_disagreement,81,United Airlines Holdings,@united,1782818909734813760,https://x.com/united/status/1782818909734813760,Tue Apr 23 17:08:45 +0000 2024,"That friend who decided now she's ""boho desert."" 
Not pictured: the big hat https://t.co/tGH3nmcpUm",1,1,coder3,pending,783,1,aggressive,non_humor,not_applicable,1,,,
C01050,classifier_disagreement,62,New York Life Insurance,@NewYorkLife,1545120127418601478,https://x.com/NewYorkLife/status/1545120127418601478,Thu Jul 07 18:58:39 +0000 2022,"Before you splurge on that cruise or all-inclusive vacation this summer, learn how you can avoid debt later on while still having fun in the sun.",0,,coder3,pending,4,1,affiliative,non_humor,not_applicable,1,,,
