global_post_id,tweet_id,sample_group,company_name,source_x_handle,created_at,text,v2_humor_label,v2_confidence,v2_target_of_humor,v2_humor_function,v2_review_flag,v2_reason_code
fortune:14:1570095151250395136,1570095151250395136,fortune_top100_ranked,Cigna Group,@Cigna,Wed Sep 14 17:00:29 +0000 2022,Hear everything you need to know about how marijuana use impacts driving in our upcoming #CignaBehavioralAwareness seminar. Sign Up: https://t.co/jiy8hLxl0x https://t.co/v52tgPTsCO,not_humor,0.700000,none,none,false,moderate_not_humor_no_humor_cue
fortune:92:2011129202632769569,2011129202632769569,fortune_top100_ranked,Uber Technologies,@Uber,Tue Jan 13 17:32:21 +0000 2026,"Most people getting out of an uber: “thanks” Midwesterners getting out of an uber: “good luck in divorce court I hope you win the custody battle, there’s no chance the judge won’t side with you. Stay strong Lisa. I love you!”",self_enhancing,0.300000,self_brand,positive_self_presentation,true,no_cue_inferred_from_pronouns
fortune:5:2056803288096690446,2056803288096690446,fortune_top100_ranked,Alphabet,@google,Tue May 19 18:24:52 +0000 2026,"Today we’re introducing a new product in @GoogleWorkspace to give you even more creative control. 🎨 Google Pics is an image creation and editing tool that can help you create just about anything — from party flyers to infographics. Pics automatically segments objects in your photos and understands how they work together, so you can make edits in just a few clicks. #GoogleIO",affiliative,0.629000,shared_situation,relationship_building,true,low_absolute_score;mixed_not_humor_signal
fortune:68:1496135791235448842,1496135791235448842,fortune_top100_ranked,Merck,@merck,Tue Feb 22 14:52:24 +0000 2022,"Black innovators are making history now. This #BlackHistoryMonth let's talk about diversity &amp; equal access, where there's been progress and the work still to be done. Our thread below highlights how Black researchers and scientists have made an impact on our company &amp; the world. https://t.co/mgVkQT256w",self_enhancing,0.300000,self_brand,positive_self_presentation,true,no_cue_inferred_from_pronouns
fortune:99:1888761087488819289,1888761087488819289,fortune_top100_ranked,Nike,@nike,Mon Feb 10 01:25:09 +0000 2025,CAITLIN CLARK Logo Legend NCAA All-Time leading scorer and a walking bucket Time's 2024 Athlete of the Year WNBA Rookie of the Year https://t.co/hillGpQe1j,not_humor,0.300000,none,none,true,no_cue_inferred_from_pronouns
fortune:2:1917701891267367293,1917701891267367293,fortune_top100_ranked,Walmart,@walmart,Wed Apr 30 22:05:34 +0000 2025,don't hmu on Wednesdays unless drop your buffs means something to you https://t.co/NVGKcqOEgc,not_humor,0.300000,none,none,true,no_cue_inferred_from_pronouns
fortune:49:1934687429908218196,1934687429908218196,fortune_top100_ranked,RTX,@RTX_News,Mon Jun 16 19:00:02 +0000 2025,#NEWS: Pratt &amp; Whitney signs long-term EngineWise Comprehensive maintenance agreement with @CebuPacificAir for GTF engines supporting the airline’s continued fleet expansion. More: https://t.co/dBb9n1y3CL #PAS25 https://t.co/Vv6vVuPlEP,not_humor,0.300000,none,none,true,no_cue_inferred_from_pronouns
fortune:20:1991527045298303393,1991527045298303393,fortune_top100_ranked,Bank of America,@bankofamerica,Thu Nov 20 15:20:23 +0000 2025,"At Bloomberg Live’s #FutureReadyBiz event, Michelle Boston joined a panel in which she discussed how enterprises can speed transformation and sharpen competitive advantage with technologies like generative AI. As Michelle emphasized, Bank of America is prioritizing use cases that align with our business pillars and deliver measurable impact.",self_enhancing,0.300000,self_brand,positive_self_presentation,true,no_cue_inferred_from_pronouns
fortune:55:1501316840403836928,1501316840403836928,fortune_top100_ranked,Sysco,@sysco,Tue Mar 08 22:00:02 +0000 2022,"Happy #InternationalWomensDay! Here's a glimpse of just one of many of our global associate celebrations today where we heard from Sysco leaders, partners and suppliers about what #BreakTheBias means to them. #IWD2022 #AtHerTable https://t.co/ymUm4rc3mm",aggressive,0.860000,external_target,ridicule_competition,false,clear_winner
fortune:31:2016543816484880574,2016543816484880574,fortune_top100_ranked,StoneX Group,@StoneX_Official,Wed Jan 28 16:08:06 +0000 2026,"Breaking news: USD/JPY rallies 1% as Bessent says the US will 'absolutely not' be intervening in the pair. GBP/JPY, EUR/JPY and other yen crosses all turn positive on the day.",self_enhancing,0.300000,self_brand,positive_self_presentation,true,no_cue_inferred_from_pronouns
fortune:12:1544705264435113984,1544705264435113984,fortune_top100_ranked,JPMorgan Chase,@jpmorgan,Wed Jul 06 15:30:08 +0000 2022,"From drivers and headwinds to activist investors, Dwayne Lysaght Co-Head of EMEA M&amp;A speaks to @Bloomberg on the M&amp;A outlook for EMEA. https://t.co/9n61g36vrd https://t.co/bNo6hVAzUe",not_humor,0.300000,none,none,true,no_cue_inferred_from_pronouns
fortune:69:1496580036933128194,1496580036933128194,fortune_top100_ranked,Nationwide,@nationwide,Wed Feb 23 20:17:40 +0000 2022,There’s still time to enter! Don’t miss out on your chance to win a NEW @ColumbusCrew jersey! #Crew96 Rules: https://t.co/KNblNLYB4S https://t.co/aY8ATcBVVU,affiliative,0.680000,shared_situation,relationship_building,true,low_absolute_score
fortune:27:1296462005436637185,1296462005436637185,fortune_top100_ranked,Kroger,@kroger,Thu Aug 20 15:00:03 +0000 2020,"Made with just 10 simple ingredients, @dariuscooks’ Asian Beef Short Rib &amp; Broccoli with Noodles is so flavorful, you’ll be cooking this up again and again 😋 https://t.co/p584j0QOey",not_humor,0.300000,none,none,true,no_cue_inferred_from_pronouns
fortune:93:1635272217419296768,1635272217419296768,fortune_top100_ranked,USAA,@usaa,Mon Mar 13 13:30:53 +0000 2023,"USAA celebrates K-9 Veterans Day! With 1,600 dogs deployed on active duty, these highly skilled warriors fearlessly save lives by detecting incoming artillery, locating the wounded, sniffing out explosives and even boosting morale. #K9VeteransDay #ThankYouForYourService https://t.co/E8JStkIMDl",not_humor,0.300000,none,none,true,no_cue_inferred_from_pronouns
fortune:37:2025957191014846937,2025957191014846937,fortune_top100_ranked,Comcast,@comcast,Mon Feb 23 15:33:29 +0000 2026,RT @NBCOlympics: Woke up thinking about MORE EXCELLENCE to come! #WinterParalympics https://t.co/8Sqd2p1rsY,not_humor,0.300000,none,none,true,no_cue_inferred_from_pronouns
fortune:54:1592487660106534913,1592487660106534913,fortune_top100_ranked,Procter & Gamble,@ProcterGamble,Tue Nov 15 12:00:19 +0000 2022,Watch: Inspired by her daughter — who has limited use of her right hand — this @Olayskin senior design strategist set out to make products more accessible. More from #PGSignal: https://t.co/dvETgMcM8A #EntreprenuersDay https://t.co/Sag2N5L2xz,not_humor,0.300000,none,none,true,no_cue_inferred_from_pronouns
fortune:74:1732145087348461889,1732145087348461889,fortune_top100_ranked,TD Synnex,@tdsynnex,Tue Dec 05 21:09:05 +0000 2023,"As part of the Junior Achievement 3DE Program, 9th grade students from Dunedin and St. Pete High Schools visited our Clearwater office to give their final presentations. Students were asked if recycling ♻️ or repair 🛠️ would be the more cost-effective use of space. https://t.co/Eyir9Dy3nB",self_enhancing,0.300000,self_brand,positive_self_presentation,true,no_cue_inferred_from_pronouns
fortune:2:2054246987722117296,2054246987722117296,fortune_top100_ranked,Walmart,@walmart,Tue May 12 17:07:02 +0000 2026,jumpscare bc my @spotify first song just came on over walmart radio,self_enhancing,0.300000,self_brand,positive_self_presentation,true,no_cue_inferred_from_pronouns
fortune:92:2054985319536341215,2054985319536341215,fortune_top100_ranked,Uber Technologies,@Uber,Thu May 14 18:00:54 +0000 2026,"Idk who needs to hear this but if you order a premium Uber ride you can now add your coffee, tea or snack order – yes, it will be waiting in your Uber (so you feel like Miranda Priestley 💁‍♀️) https://t.co/N45mCkeuml",self_enhancing,0.680000,self_brand,positive_self_presentation,true,low_absolute_score
fortune:1:2021224119392477448,2021224119392477448,fortune_top100_ranked,Amazon,@amazon,Tue Feb 10 14:05:57 +0000 2026,"He's untraceable. Experience #Crime101 starring Chris Hemsworth, Mark Ruffalo, Barry Keoghan, and Halle Berry, the ultimate heist only in theaters and IMAX this Friday. https://t.co/ZlWiseO5lU",not_humor,0.300000,none,none,true,no_cue_inferred_from_pronouns
